family,family_label,model_id,mask_cmd,ptbxl_mse,ptbxl_r2,ptbxl_pearson,ptbxl_qrs_correlation,ptbxl_st_correlation,ptbxl_ecgfounder_auroc,echonext_r2,echonext_pearson,echonext_shd_auroc
unet,U-Net,unet__e1c1m1d0__s42,110,0.021390747980039315,0.6624078841484686,0.9084979450602633,0.9286258457466253,0.79463324430097,0.8681695010793837,-35.24263967208491,0.8782899444472907,0.7235813046332472
msvae,MultiScale-VAE,msvae__e1c1m0d0__s42,100,0.017921200428504626,0.8155224764386849,0.9219244672632377,0.9401940147780273,0.8216656378811131,0.8799993986489346,-0.9656328665199605,0.8679142666564498,0.7670180473446412
ecgaim,ECG-AIM,ecgaim__e1c1m1d0__s42,110,0.018046564650363237,0.819567949824188,0.925127493577085,0.9425737804056493,0.8324669333768528,0.8791832699369279,0.5934690483627286,0.9088884291343552,0.7746531363229742
