model_id,mask,mask_description,mmd_name,mae,pearson_r,r2,auroc,auprc,f1,n_targets
f_1000001_s42,1000001,MSE + MMD: global_rbf,global_rbf,0.08535867680310116,0.7093399239679096,0.04211254686290459,,,,12
f_1000002_s42,1000002,MSE + MMD: anatomical_laplacian,anatomical_laplacian,0.08219046478678685,0.7667928791768724,0.3742472400270633,,,,12
f_1000003_s42,1000003,MSE + MMD: anatomical_imq,anatomical_imq,0.08004726928950241,0.8090478204746185,0.5206027987699702,,,,12
f_1000004_s42,1000004,MSE + MMD: temporal_kmeans_imq,temporal_kmeans_imq,0.0796138314126797,0.8037546775797235,0.46319489192518476,,,,12
