model_id,lead,feature,real_mean,real_sd,recon_mean,recon_sd,p_mean,p_var,var_ret_pct,bland_bias,loa_low,loa_high,presacan_r2,presacan_slope,direct_r2,direct_slope,mask
f_1000000_s42,V1,R,0.30858145499461287,0.34343775140232863,0.3220231675689496,0.08927299792762151,0.05398328279268879,0.0,6.756848393766321,0.013441712574336722,-0.627056043120103,0.6539394682687764,0.9326337042603045,-0.9189017150175937,0.09733727092500084,0.08109828498240668,1000000
f_1000000_s42,V1,S,-0.833534929999663,0.48481278803298494,-0.5106381147259251,0.1739379581453675,5.5255904910820745e-222,0.0,12.871839076084198,0.32289681527373787,-0.5046179101432149,1.1504115406906907,0.8754829812038128,-0.8148345710577786,0.2663662579414507,0.18516542894222113,1000000
f_1000000_s42,V1,ST,0.0053682344096954255,0.2172363041618498,0.12556283337214666,0.07130848935234614,9.009626212373807e-136,0.0,10.775009487300903,0.12019459896245122,-0.29423404357664135,0.5346232415015437,0.8930518390229566,-0.9198131645246188,0.05967445867215045,0.08018683547538161,1000000
f_1000000_s42,V1,T,0.1585875930242559,0.16134441871049746,0.22782292811571195,0.03972348355718238,5.963994906271907e-94,0.0,6.061592830763523,0.06923533509145605,-0.22530326755605604,0.36377393773896816,0.9408736503047411,-0.9034369668427549,0.15382787383616706,0.09656303315724526,1000000
f_1000000_s42,V2,R,0.607252386829954,0.38496394669764766,0.607252386829954,0.38496394669764766,,0.999999999872195,99.99999999932521,0.0,0.0,0.0,,0.0,1.0,1.0,1000000
f_1000000_s42,V2,S,-1.189666991197488,0.6795436396203349,-1.189666991197488,0.6795436396203349,,0.999999999957862,99.99999999978345,0.0,0.0,0.0,,0.0,1.0,1.0,1000000
f_1000000_s42,V2,ST,-0.004006096788918688,0.25605599097563525,-0.004006096788918688,0.25605599097563525,,0.9999999997132022,99.99999999847478,0.0,0.0,0.0,,0.0,1.0,1.0,1000000
f_1000000_s42,V2,T,0.2972913026263949,0.20279871649263675,0.2972913026263949,0.20279871649263675,,0.9999999995439651,99.99999999756854,0.0,0.0,0.0,,0.0,1.0,1.0,1000000
f_1000000_s42,V3,R,0.8157310172325649,0.48083326796075665,0.5013649634494903,0.15772249907671665,1.8002428232167555e-217,0.0,10.759653442609235,-0.31436605378307464,-1.1304876296877706,0.5017555221216214,0.8991725121352292,-0.8211562279265918,0.29726881985476195,0.17884377207340796,1000000
f_1000000_s42,V3,S,-1.0030771997690309,0.6331691227251721,-1.0199897785258358,0.21649268729067983,0.1359641938956146,0.0,11.69087473030223,-0.016912578756804894,-1.0586229129382616,1.0247977554246517,0.8943952967839546,-0.7938453894429206,0.3635290295573675,0.2061546105570798,1000000
