dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,evaluation_version
echonext,f_1000000_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000000_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_III,0.3349592390864901,0.4837954495039463,0.1391113438959142,0.0390323527414744,-1.342072119294491,1.4201368247774402,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V1,0.3400003378335892,0.6764112650504285,0.2746269267658304,0.1171412394536054,-1.241734307992907,1.4760167869001182,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V3,0.3458449806014779,0.7444191990218014,0.4157155821902784,-0.1379045070521339,-1.2783226520233906,1.0025136379191228,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V4,0.3108684739529588,0.7251321585233554,0.3938697238348309,0.0424300651651347,-1.1792863535177096,1.2641464838479792,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V5,0.3311298339547966,0.6780700959485911,0.3123365690580955,0.0110100340075661,-1.3194268195877763,1.3414468876029084,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_V6,0.3329842692019422,0.7538242719577536,0.3054968089798005,-0.0279126855461383,-1.388973064483683,1.3331476933914062,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_aVF,0.3380073996373532,0.6414658227541833,0.2638520814082729,0.0113797329771602,-1.2924142700970935,1.3151737360514142,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_aVL,0.4085696735623485,0.4850847060317737,0.1384952280802435,0.0656342094333844,-1.3963812482755409,1.5276496671423094,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000000_s42,Signal_Lead_aVR,0.3986517473402003,0.8233173776005778,0.3316693440924162,-0.042250459783438,-1.426774852056894,1.3422739324900177,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000001_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_III,0.3515379624927343,0.3502873484980843,0.0700167493513113,0.0265050850062979,-1.4067455521234289,1.459755722136025,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V1,0.3583836695782078,0.3963967127187638,0.1095102281516958,0.0881664759853985,-1.3913902954119433,1.56772324738274,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V3,0.3259397491594943,0.6998206176364887,0.3639794014413666,-0.0932626845016693,-1.273491439070802,1.0869660700674637,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V4,0.322388762954257,0.6829922480728005,0.35897308725159,0.0198391370096395,-1.2351108544003482,1.274789128419627,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V5,0.3405390732954713,0.625025923165717,0.2751395186515223,0.0039604376276959,-1.3493125267325,1.3572334019878922,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_V6,0.3446223876265992,0.7125721499944504,0.2709209416459748,-0.0193382913550639,-1.414100946662208,1.37542436395208,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_aVF,0.3621996891896759,0.5274757362632635,0.1869994546689038,0.0120005518696917,-1.3500836520191355,1.3740847557585192,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_aVL,0.3971802461775708,0.3930783349993184,0.0897513091622306,0.0291488018318543,-1.4556388936444524,1.5139364973081613,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000001_s42,Signal_Lead_aVR,0.3862610683933927,0.7548885024757861,0.3296145915365294,-0.0138877278547049,-1.3982136156494882,1.3704381599400783,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000002_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_III,0.3388865173391858,0.4754278043323883,0.1246831603501162,0.0294067960680905,-1.3645591115893545,1.4233727037255357,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_V1,0.3563897719602868,0.5314047822732642,0.1859718780677355,0.1267166178407257,-1.2909714707331164,1.5444047064145678,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_V3,0.3404197757733141,0.7333790894681879,0.3999192105431221,-0.1286434732895929,-1.277821569815944,1.020534623236758,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_V4,0.3136707741246094,0.7081237301792578,0.3853367957603816,0.0404792806905243,-1.1838484115683066,1.2648069729493552,,,,,,,,,,,,,,,,,legacy_v1
