analysis_type,endpoint,endpoint_label,cohort,n_observations,n_patients,architecture_family,adjusted_ls_mean,se,ci_95_lower,ci_95_upper,contrast_vs_ref,contrast_p_value,adjusted_odds_ratio,aor_ci_95_lower,aor_ci_95_upper,icc,sigma_patient_sq,sigma_resid_sq,working_correlation_alpha
MMRM_REML,qrs_error_ms,QRS Duration Absolute Error (ms),PTB-XL,120882,1904,Factorial Baseline,13.749677586100438,1.6678185632315183,10.480753202166662,17.018601970034215,0.0,,,,,0.5213688964256525,49.551557793160825,45.4897040329115,
MMRM_REML,qrs_error_ms,QRS Duration Absolute Error (ms),PTB-XL,120882,1904,Ansari 3DRECON-QT (D-Series),10.169824345266964,0.08647734312916129,10.000328752733807,10.33931993780012,-3.579853240833473,0.0,,,,0.5213688964256525,49.551557793160825,45.4897040329115,
MMRM_REML,qrs_error_ms,QRS Duration Absolute Error (ms),PTB-XL,120882,1904,Spatial / Geometry,10.44342660995201,0.07660708625668047,10.293276720888915,10.593576499015104,-3.3062509761484273,0.0,,,,0.5213688964256525,49.551557793160825,45.4897040329115,
MMRM_REML,qrs_error_ms,QRS Duration Absolute Error (ms),PTB-XL,120882,1904,Wavelet / MTL / SSL,10.03338718016726,0.0830869622726718,9.870536734112823,10.196237626221697,-3.716290405933178,0.0,,,,0.5213688964256525,49.551557793160825,45.4897040329115,
MMRM_REML,qrs_signed_error_ms,QRS Duration Signed Bias (ms),PTB-XL,120882,1904,Factorial Baseline,-3.387518621661833,2.319609091516965,-7.933952441035085,1.1589151977114183,0.0,,,,,0.5919710237695962,98.228456796246,67.70611238374472,
MMRM_REML,qrs_signed_error_ms,QRS Duration Signed Bias (ms),PTB-XL,120882,1904,Ansari 3DRECON-QT (D-Series),0.12759046548148145,0.10550176630563629,-0.07919299647756567,0.3343739274405286,3.5151090871433146,2.1179243411239332e-243,,,,0.5919710237695962,98.228456796246,67.70611238374472,
MMRM_REML,qrs_signed_error_ms,QRS Duration Signed Bias (ms),PTB-XL,120882,1904,Spatial / Geometry,-2.2344962800448522,0.09346012106735048,-2.4176781173368593,-2.051314442752845,1.1530223416169807,5.721279227021651e-35,,,,0.5919710237695962,98.228456796246,67.70611238374472,
MMRM_REML,qrs_signed_error_ms,QRS Duration Signed Bias (ms),PTB-XL,120882,1904,Wavelet / MTL / SSL,-1.6829949151676442,0.10136552506086471,-1.881671344286939,-1.4843184860483494,1.704523706494189,1.8753427580518242e-63,,,,0.5919710237695962,98.228456796246,67.70611238374472,
MMRM_REML,sokolow_error_mv,Sokolow-Lyon LVH Voltage Error (mV),PTB-XL,120890,1904,Factorial Baseline,1.1285582664801064,0.10053581380118697,0.9315080714297799,1.3256084615304329,0.0,,,,,0.7140168375681655,0.19189489551814248,0.0768591245855119,
MMRM_REML,sokolow_error_mv,Sokolow-Lyon LVH Voltage Error (mV),PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.6261253668145057,0.0035534834616909924,0.6191605392295914,0.63309019439942,-0.5024328996656007,0.0,,,,0.7140168375681655,0.19189489551814248,0.0768591245855119,
MMRM_REML,sokolow_error_mv,Sokolow-Lyon LVH Voltage Error (mV),PTB-XL,120890,1904,Spatial / Geometry,0.7793469645108084,0.0031476229867536567,0.7731776234567712,0.7855163055648456,-0.34921130196929795,0.0,,,,0.7140168375681655,0.19189489551814248,0.0768591245855119,
MMRM_REML,sokolow_error_mv,Sokolow-Lyon LVH Voltage Error (mV),PTB-XL,120890,1904,Wavelet / MTL / SSL,0.7257775417592025,0.0034140764777849317,0.719085951862744,0.732469131655661,-0.40278072472090387,0.0,,,,0.7140168375681655,0.19189489551814248,0.0768591245855119,
MMRM_REML,r_v3,Precordial Lead V3 Correlation (r),PTB-XL,120890,1904,Factorial Baseline,0.38300699632815616,0.05192089305331668,0.2812420459436555,0.48477194671265683,0.0,,,,,0.705883129104019,0.05315101550397372,0.02214617366590851,
MMRM_REML,r_v3,Precordial Lead V3 Correlation (r),PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.671563441798041,0.001907462164902612,0.6678248159548318,0.6753020676412501,0.2885564454698848,0.0,,,,0.705883129104019,0.05315101550397372,0.02214617366590851,
MMRM_REML,r_v3,Precordial Lead V3 Correlation (r),PTB-XL,120890,1904,Spatial / Geometry,0.6637955770228602,0.0016896017165513796,0.6604839576584195,0.6671071963873009,0.280788580694704,0.0,,,,0.705883129104019,0.05315101550397372,0.02214617366590851,
MMRM_REML,r_v3,Precordial Lead V3 Correlation (r),PTB-XL,120890,1904,Wavelet / MTL / SSL,0.7252812881585465,0.001832630369513433,0.7216893326343002,0.7288732436827928,0.3422742918303904,0.0,,,,0.705883129104019,0.05315101550397372,0.02214617366590851,
MMRM_REML,r_chest,Precordial Chest Leads Mean Correlation (r),PTB-XL,120890,1904,Factorial Baseline,0.5707288390267304,0.03435013260523473,0.5034025791204704,0.6380550989329905,0.0,,,,,0.7895474779637162,0.023330919823628806,0.006218816544094713,
MMRM_REML,r_chest,Precordial Chest Leads Mean Correlation (r),PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.732503562343938,0.0010107888774130104,0.7305224161442084,0.7344847085436675,0.16177472331720752,0.0,,,,0.7895474779637162,0.023330919823628806,0.006218816544094713,
MMRM_REML,r_chest,Precordial Chest Leads Mean Correlation (r),PTB-XL,120890,1904,Spatial / Geometry,0.7238679455177977,0.0008953418074404347,0.7221130755752144,0.7256228154603809,0.1531391064910672,0.0,,,,0.7895474779637162,0.023330919823628806,0.006218816544094713,
MMRM_REML,r_chest,Precordial Chest Leads Mean Correlation (r),PTB-XL,120890,1904,Wavelet / MTL / SSL,0.7561077876495477,0.0009711345409611654,0.7542043639492638,0.7580112113498315,0.18537894862281723,0.0,,,,0.7895474779637162,0.023330919823628806,0.006218816544094713,
GEE_Exchangeable,concord_conduction_delay,Severe Conduction Delay Concordance (QRS > 120ms),PTB-XL,120890,1904,Factorial Baseline,0.9070746132848043,,,,,,1.0,1.0,1.0,,,,0.5861643508400414
GEE_Exchangeable,concord_conduction_delay,Severe Conduction Delay Concordance (QRS > 120ms),PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.9434839753311091,,,,,1.2065087418134506e-18,1.7497364473409782,1.545050123428806,1.981539361557484,,,,0.5861643508400414
GEE_Exchangeable,concord_conduction_delay,Severe Conduction Delay Concordance (QRS > 120ms),PTB-XL,120890,1904,Spatial / Geometry,0.944540491355778,,,,,8.20987303527186e-30,1.7867861090246264,1.616250694045981,1.9753152225483512,,,,0.5861643508400414
GEE_Exchangeable,concord_conduction_delay,Severe Conduction Delay Concordance (QRS > 120ms),PTB-XL,120890,1904,Wavelet / MTL / SSL,0.9459736123748863,,,,,7.685607281708292e-18,1.8394461103598263,1.60100405221578,2.1134000180918124,,,,0.5861643508400414
GEE_Exchangeable,concord_sokolow_lvh,Sokolow-Lyon LVH Concordance (> 3.5mV),PTB-XL,120890,1904,Factorial Baseline,0.8894449499545041,,,,,,1.0,1.0,1.0,,,,0.7057271369795725
GEE_Exchangeable,concord_sokolow_lvh,Sokolow-Lyon LVH Concordance (> 3.5mV),PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.89192194924679,,,,,0.16111942550373903,1.0255479916055497,0.9899927530775693,1.0623801839120823,,,,0.7057271369795725
GEE_Exchangeable,concord_sokolow_lvh,Sokolow-Lyon LVH Concordance (> 3.5mV),PTB-XL,120890,1904,Spatial / Geometry,0.8871246587807098,,,,,0.32725441873198713,0.977069012697408,0.9327574117739166,1.023485681832224,,,,0.7057271369795725
GEE_Exchangeable,concord_sokolow_lvh,Sokolow-Lyon LVH Concordance (> 3.5mV),PTB-XL,120890,1904,Wavelet / MTL / SSL,0.8914543524416136,,,,,0.4199103871700317,1.0206373701340654,0.9712110162189758,1.0725791037354875,,,,0.7057271369795725
GEE_Exchangeable,concord_arrhythmia,ECGFounder Arrhythmia Concordance,PTB-XL,120890,1904,Factorial Baseline,0.8596451319381255,,,,,,1.0,1.0,1.0,,,,0.8902769567719543
GEE_Exchangeable,concord_arrhythmia,ECGFounder Arrhythmia Concordance,PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.8597715094530382,,,,,0.6903123386618031,1.0011148274941513,0.9956426191148113,1.0066171119911382,,,,0.8902769567719543
GEE_Exchangeable,concord_arrhythmia,ECGFounder Arrhythmia Concordance,PTB-XL,120890,1904,Spatial / Geometry,0.8595693054291781,,,,,0.768081658112431,0.9993321044387132,0.9949041537355255,1.0037797623140505,,,,0.8902769567719543
GEE_Exchangeable,concord_arrhythmia,ECGFounder Arrhythmia Concordance,PTB-XL,120890,1904,Wavelet / MTL / SSL,0.8597209584470731,,,,,0.8063603953035948,1.0006686459865368,0.9953346646131095,1.0060312120745365,,,,0.8902769567719543
GEE_Exchangeable,concord_conduction,ECGFounder Conduction Abnormality Concordance,PTB-XL,120890,1904,Factorial Baseline,0.8334849863512284,,,,,,1.0,1.0,1.0,,,,0.9119187108729381
GEE_Exchangeable,concord_conduction,ECGFounder Conduction Abnormality Concordance,PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.8334849863512284,,,,,,1.0,,,,,,0.9119187108729381
GEE_Exchangeable,concord_conduction,ECGFounder Conduction Abnormality Concordance,PTB-XL,120890,1904,Spatial / Geometry,0.8334849863512284,,,,,,1.0,,,,,,0.9119187108729381
GEE_Exchangeable,concord_conduction,ECGFounder Conduction Abnormality Concordance,PTB-XL,120890,1904,Wavelet / MTL / SSL,0.8334849863512284,,,,,,0.9999999999999999,,,,,,0.9119187108729381
GEE_Exchangeable,concord_infarct,ECGFounder Myocardial Infarction Concordance,PTB-XL,120890,1904,Factorial Baseline,0.7579617834394905,,,,,,1.0,1.0,1.0,,,,0.9367913874210054
GEE_Exchangeable,concord_infarct,ECGFounder Myocardial Infarction Concordance,PTB-XL,120890,1904,Ansari 3DRECON-QT (D-Series),0.7579617834394905,,,,,,0.9999999999999999,,,,,,0.9367913874210054
GEE_Exchangeable,concord_infarct,ECGFounder Myocardial Infarction Concordance,PTB-XL,120890,1904,Spatial / Geometry,0.7579617834394905,,,,,,0.9999999999999999,,,,,,0.9367913874210054
GEE_Exchangeable,concord_infarct,ECGFounder Myocardial Infarction Concordance,PTB-XL,120890,1904,Wavelet / MTL / SSL,0.7579617834394905,,,,,,1.0,,,,,,0.9367913874210054
GEE_Exchangeable,concord_shd,EchoNext Structural Heart Disease Concordance,EchoNext,55000,1000,Factorial Baseline,0.6875,,,,,,1.0,1.0,1.0,,,,
GEE_Exchangeable,concord_shd,EchoNext Structural Heart Disease Concordance,EchoNext,55000,1000,Ansari 3DRECON-QT (D-Series),0.4648888888888889,,,,,,,,,,,,
GEE_Exchangeable,concord_shd,EchoNext Structural Heart Disease Concordance,EchoNext,55000,1000,Spatial / Geometry,0.6891666666666667,,,,,,,,,,,,
GEE_Exchangeable,concord_shd,EchoNext Structural Heart Disease Concordance,EchoNext,55000,1000,Wavelet / MTL / SSL,0.69775,,,,,,,,,,,,
GEE_Exchangeable,concord_lvef_45,EchoNext Reduced LVEF (<= 45%) Concordance,EchoNext,55000,1000,Factorial Baseline,0.756,,,,,,1.0,1.0,1.0,,,,
GEE_Exchangeable,concord_lvef_45,EchoNext Reduced LVEF (<= 45%) Concordance,EchoNext,55000,1000,Ansari 3DRECON-QT (D-Series),0.33311111111111114,,,,,,,,,,,,
GEE_Exchangeable,concord_lvef_45,EchoNext Reduced LVEF (<= 45%) Concordance,EchoNext,55000,1000,Spatial / Geometry,0.7650666666666667,,,,,,,,,,,,
