family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,j_point_amplitude_mae,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,8.514329921996545e-05,4.692029899860215e-05,0.00012155405703391306,2198
unet,j_point_amplitude_mae,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0006486634236359605,-0.0007502949227716866,-0.0005419072744633273,2198
unet,j_point_amplitude_mae,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00013583342356605622,6.0580996298597e-05,0.000206426384319911,2198
unet,j_point_amplitude_mae,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0005487817116302046,0.00034863214241197347,0.0007347507917115492,2198
unet,j_point_amplitude_mae,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,9.040916749565193e-05,1.7681005696908872e-05,0.00017121463266874982,2198
unet,j_point_amplitude_mae,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0001088146605885658,-4.320646707720705e-05,0.00026258291423877304,2198
unet,ecgfounder_auroc,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.004868127842365401,0.0005592466570873932,0.009239835459365969,2198
unet,ecgfounder_auroc,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0001825878888775964,-0.0003756756097547085,0.0008007880963468413,2198
unet,ecgfounder_auroc,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0002755219159208927,-0.001383887163396178,0.0019304218662742902,2198
unet,ecgfounder_auroc,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0008057479938985458,-0.00030317090118137986,0.0020128732088901266,2198
unet,ecgfounder_auroc,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0025600907970849645,-0.0006823370965924451,0.00632112876105188,2198
unet,ecgfounder_auroc,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0017214172403938756,0.000471847372332877,0.0030835737956347435,2198
unet,ecgfounder_auroc,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.0024913735116944774,-0.0053887068039973635,0.00024703705869473237,2198
msvae,mse,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0004269602583774562,-0.0005045542452117121,-0.0003561823537585309,2198
msvae,mse,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.5949835927762495e-05,-2.2813590929843558e-05,-9.476735887101844e-06,2198
msvae,mse,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,2.0497738804193205e-05,1.2566674882808693e-05,3.110636827726132e-05,2198
msvae,mse,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,3.196630516804304e-05,1.8980652624082422e-05,4.8558435392781587e-05,2198
msvae,mse,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-3.3085466115404974e-05,-4.828983924163783e-05,-1.9815787479505564e-05,2198
msvae,mse,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,7.13497515057245e-06,-4.760387457894658e-06,2.23641663623774e-05,2198
msvae,mse,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,1.7267329330421355e-05,-8.887419748180815e-06,5.768875188379289e-05,2198
msvae,r2,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.015474215873185116,0.014138715583916826,0.017001262070865598,2198
msvae,r2,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0007069434629157067,0.0006052204092419776,0.000858150197865844,2198
msvae,r2,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,6.913703375218861e-07,-0.00012482647328529325,0.00013838493132062996,2198
msvae,r2,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00031182299342872514,-0.0004946636966073049,-0.00014245994628844439,2198
msvae,r2,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0008617704294073659,0.0006281725939970583,0.001060834685197297,2198
msvae,r2,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00011103907694321488,-5.576254595847468e-05,0.0002720896503277302,2198
msvae,r2,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0004854266364610431,0.00011586302380821316,0.000880211247377518,2198
msvae,pearson,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00961190738712689,0.009175883150745029,0.010176751943421524,2198
msvae,pearson,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00011994971048842787,9.128930579890638e-05,0.00014871307674059876,2198
msvae,pearson,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00011666675010955366,-0.00014676456527168725,-8.464715683173989e-05,2198
msvae,pearson,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0002474688040982386,-0.00030104328106320637,-0.0001914737321236249,2198
msvae,pearson,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00019168794100885505,0.00013689317015268216,0.0002472878793961273,2198
msvae,pearson,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-5.343694704244959e-05,-0.00010246494485985609,-3.3207120865634876e-06,2198
msvae,pearson,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-2.050394356738881e-05,-0.00013399877774991859,8.792134821495679e-05,2198
msvae,qrs_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.004481102770434065,0.003930961666815567,0.005151278233275886,2198
msvae,qrs_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00012436136274723456,8.9912706634623e-05,0.00015814047981005394,2198
msvae,qrs_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-9.8885094654973e-05,-0.0001342256487715042,-6.492977516015805e-05,2198
msvae,qrs_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00028608906312376875,-0.0003573763090362439,-0.00021790917002505018,2198
