id,mask,loss_protocol,n_samples,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc
unet__e1c0m0d0__s42,1000,paper_parity_normalized,2198,0.021343827908490574,0.7010865419660152,0.87010833653265,0.8913774083666688,0.7504625872138222,0.8645394068168233
unet__e1c1m1d1__s42,1111,paper_parity_normalized,2198,0.024877202759834238,0.670195037455569,0.8767567038861485,0.901208324517268,0.724366642148783,0.8652469853073581
unet__e1c1m0d1__s42,1101,paper_parity_normalized,2198,0.024213576586650725,0.6828556538875586,0.8841777322458891,0.9075114862959287,0.7354349656503852,0.8648291164310334
unet__e1c1m1d0__s42,1110,paper_parity_normalized,2198,0.024009290770589612,0.6728939386756027,0.8746751155160024,0.897832406149533,0.7492793907331109,0.8676852588127707
unet__e1c0m1d1__s42,1011,paper_parity_normalized,2198,0.0278450407677094,0.5245399958545501,0.808194786674778,0.8373890588826912,0.6006461043572712,0.864161740311026
