family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,pearson,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0001826561221293149,-0.0002546969433926867,-0.00011693297561792992,2198
unet,pearson,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.06642181484954562,-0.06806196106697307,-0.06485187161876585,2198
unet,pearson,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00014641680996564438,6.382904276203716e-05,0.00022395539553892425,2198
unet,pearson,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.06604200045352393,-0.06770920952656913,-0.0643834381621391,2198
unet,pearson,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0010996069618526613,0.001016761499086213,0.0011757547996252577,2198
unet,pearson,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0002793016435819934,0.00011442113041785716,0.0004342079602764318,2198
unet,pearson,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.13371077845021473,0.13057190145843428,0.13691875649897345,2198
unet,pearson,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0021851445245566706,0.0020195106204877,0.002337624646170416,2198
unet,pearson,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0024601650245632597,-0.002640328102388215,-0.002280809121777001,2198
unet,pearson,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.004892187725531754,-0.005252599402916146,-0.004533533835725491,2198
unet,qrs_correlation,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.48785119731374105,0.48496122212582854,0.4907429654645336,2198
unet,qrs_correlation,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.39214904447532695,0.38945416995753945,0.3947833094088128,2198
unet,qrs_correlation,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.00013296728740733665,-0.00017450710846707423,-9.422549207646401e-05,2198
unet,qrs_correlation,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.03179330266838179,0.03079029491537249,0.03284389144083884,2198
unet,qrs_correlation,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.7611166720688205,-0.7667532097112213,-0.755497159999493,2198
unet,qrs_correlation,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.000252658483399374,-0.0003360934635934648,-0.0001751698899169398,2198
unet,qrs_correlation,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.06201030896702917,-0.06407755900037967,-0.060136695774135274,2198
unet,qrs_correlation,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,8.397930940142306e-05,-1.563910372354866e-05,0.00018600836425385143,2198
