predictor,n_patients,raw_spearman_rho,raw_p_value_exploratory,within_dataset_rank_spearman_rho,within_dataset_rank_p_value_exploratory
cluster_size,34,-0.04403126213208456,0.8047065244115873,0.08613725321714776,0.6281180725591411
m_star,34,0.07994093501396009,0.6531309575648414,0.13427936420586298,0.4489728032357325
G_star,34,-0.030107500023076775,0.8657754216516378,-0.004756580822621996,0.9787005480265745
temporal_separation,34,0.12998346257175722,0.46374462402599215,0.199732217435322,0.25741408941428895
heart_rate,34,-0.190758173125346,0.27984901540239354,-0.1638573816125699,0.3544529408963478
morphology_distance,34,-0.17389009019618665,0.32534242112077605,-0.10836931374831331,0.5418210005075822
