dataset,record_id,block_mode,gamma,m_star,G_star,n_null_pairs,null_rejections,type1_error,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
RDB,rdb_AF0066,temporal_contiguous,1.0,64,8,3,0,0.0,0,0,,0.42857142857142855,2,2,0.0,1.0,11.088914155960083
RDB,rdb_AF0065,unblocked,1.0,16,8,5,0,0.0,0,0,,0.35714285714285715,4,2,0.5,0.8181818181818182,15.504004716873169
RDB,rdb_AF0066,unblocked,1.0,64,8,3,0,0.0,0,0,,0.6428571428571429,3,1,0.625,1.0,12.954619407653809
RDB,rdb_AF0091,attribute_kmeans,1.0,32,6,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.125,18.628745079040527
RDB,rdb_AF0091,temporal_contiguous,1.0,32,6,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.14285714285714285,16.392650842666626
RDB,rdb_AF0058,attribute_kmeans,1.0,64,8,15,0,0.0,0,0,,1.0,1,1,0.0,1.0,64.0671877861023
RDB,rdb_AF0058,temporal_contiguous,1.0,64,8,15,0,0.0,0,0,,0.75,2,2,0.0,0.9523809523809523,59.26752686500549
RDB,rdb_AF0058,unblocked,1.0,64,8,15,0,0.0,0,0,,1.0,1,1,0.0,1.0,64.0403048992157
RDB,rdb_AF0091,unblocked,1.0,32,6,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.125,21.214619874954224
RDB,rdb_AF0071,temporal_contiguous,1.0,64,6,10,2,0.2,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.8,46.03314399719238
RDB,rdb_AF0071,attribute_kmeans,1.0,64,6,10,2,0.2,0,0,,0.8666666666666667,2,1,1.0,0.8666666666666667,52.78019666671753
RDB,rdb_AF0071,unblocked,1.0,64,6,10,2,0.2,0,0,,0.8666666666666667,2,1,1.0,0.8666666666666667,51.68910360336304
RDB,rdb_AF0093,temporal_contiguous,1.0,64,6,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,0.3,44.72198295593262
RDB,rdb_AF0093,attribute_kmeans,1.0,64,6,10,0,0.0,0,0,,1.0,1,1,0.0,0.44,51.11199760437012
RDB,rdb_AF0093,unblocked,1.0,64,6,10,0,0.0,0,0,,1.0,1,1,0.0,0.44,48.29150986671448
ISP,1,temporal_contiguous,1.0,32,8,5,0,0.0,0,0,,0.32142857142857145,5,2,0.125,0.05555555555555555,65.16998553276062
ISP,2,temporal_contiguous,1.0,32,8,3,0,0.0,3,3,1.0,0.14285714285714285,5,5,0.0,0.16666666666666666,52.04596972465515
ISP,1,attribute_kmeans,1.0,32,8,5,0,0.0,0,0,,0.35714285714285715,4,2,0.375,0.10526315789473684,74.43268871307373
ISP,2,attribute_kmeans,1.0,32,8,3,0,0.0,3,3,1.0,0.17857142857142858,5,4,0.125,0.25,60.66977858543396
ISP,1,unblocked,1.0,32,8,5,0,0.0,0,0,,0.35714285714285715,4,2,0.375,0.10526315789473684,70.50500059127808
ISP,2,unblocked,1.0,32,8,3,0,0.0,3,3,1.0,0.17857142857142858,5,4,0.125,0.25,59.85549068450928
ISP,3,temporal_contiguous,1.0,32,8,6,0,0.0,0,0,,0.2857142857142857,4,3,0.125,0.7777777777777778,84.99053406715393
ISP,3,attribute_kmeans,1.0,32,8,6,0,0.0,0,0,,0.4642857142857143,3,1,0.5,0.8571428571428571,96.39631175994873
ISP,5,attribute_kmeans,1.0,32,8,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,62.91175317764282
ISP,5,temporal_contiguous,1.0,32,8,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,52.72320628166199
ISP,3,unblocked,1.0,32,8,6,0,0.0,0,0,,0.4642857142857143,3,1,0.5,0.8571428571428571,80.52433657646179
ISP,5,unblocked,1.0,32,8,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,60.813703775405884
ISP,7,attribute_kmeans,1.0,32,8,3,0,0.0,7,7,1.0,0.17857142857142858,5,4,0.25,0.2222222222222222,164.89319825172424
ISP,7,temporal_contiguous,1.0,32,8,3,0,0.0,7,7,1.0,0.10714285714285714,6,6,0.0,0.2,228.0515775680542
ISP,8,attribute_kmeans,1.0,32,8,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.5185185185185185,78.358558177948
ISP,7,unblocked,1.0,32,8,3,0,0.0,7,7,1.0,0.17857142857142858,5,4,0.25,0.2222222222222222,193.36419582366943
ISP,4,temporal_contiguous,1.0,128,6,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,1.0,459.87060952186584
ISP,6,attribute_kmeans,1.0,64,8,9,0,0.0,0,0,,0.5714285714285714,2,1,0.5,0.5714285714285714,184.04724717140198
ISP,6,unblocked,1.0,64,8,9,0,0.0,0,0,,0.5714285714285714,2,1,0.5,0.5714285714285714,155.07910871505737
ISP,4,attribute_kmeans,1.0,128,6,10,0,0.0,0,0,,1.0,1,1,0.0,0.6666666666666666,473.3217661380768
ISP,4,unblocked,1.0,128,6,10,0,0.0,0,0,,1.0,1,1,0.0,0.6666666666666666,469.38442945480347
ISP,6,temporal_contiguous,1.0,64,8,9,0,0.0,0,0,,0.42857142857142855,3,2,0.125,0.5,216.0644495487213
ISP,8,temporal_contiguous,1.0,32,8,5,1,0.2,0,0,,0.5,3,2,0.75,0.391304347826087,69.14073824882507
ISP,8,unblocked,1.0,32,8,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.5185185185185185,86.49223446846008
ISP,9,temporal_contiguous,1.0,32,8,3,0,0.0,3,3,1.0,0.10714285714285714,6,6,0.0,1.0,67.78882217407227
Zhejiang,1000364,attribute_kmeans,1.0,64,8,6,0,0.0,5,3,0.6,0.5714285714285714,2,1,0.5,0.3333333333333333,51.081846475601196
ISP,9,attribute_kmeans,1.0,32,8,3,0,0.0,3,3,1.0,0.10714285714285714,6,6,0.0,1.0,80.22223043441772
ISP,9,unblocked,1.0,32,8,3,0,0.0,3,3,1.0,0.10714285714285714,6,6,0.0,1.0,75.40979552268982
Zhejiang,1000364,temporal_contiguous,1.0,64,8,6,0,0.0,5,5,1.0,0.4642857142857143,2,2,0.0,0.14285714285714285,49.07617807388306
Zhejiang,1000436,temporal_contiguous,1.0,16,6,2,2,1.0,3,3,1.0,0.0,6,6,0.0,0.0,30.62098264694214
Zhejiang,1000436,attribute_kmeans,1.0,16,6,2,2,1.0,3,3,1.0,0.0,6,6,0.0,0.0,37.00793957710266
Zhejiang,1000364,unblocked,1.0,64,8,6,0,0.0,5,3,0.6,0.5714285714285714,2,1,0.5,0.3333333333333333,48.5242121219635
Zhejiang,1000436,unblocked,1.0,16,6,2,2,1.0,3,3,1.0,0.0,6,6,0.0,0.0,34.74023461341858
Zhejiang,1003549,temporal_contiguous,1.0,16,8,7,5,0.7142857142857143,5,5,1.0,0.17857142857142858,6,4,0.125,0.16666666666666666,24.027384042739868
Zhejiang,1003549,attribute_kmeans,1.0,16,8,7,4,0.5714285714285714,5,5,1.0,0.17857142857142858,5,3,0.375,0.14285714285714285,28.53641939163208
Zhejiang,1003549,unblocked,1.0,16,8,7,4,0.5714285714285714,5,5,1.0,0.17857142857142858,5,3,0.375,0.14285714285714285,27.835112810134888
Zhejiang,1003838,temporal_contiguous,1.0,16,8,3,1,0.3333333333333333,9,9,1.0,0.07142857142857142,7,6,0.125,0.2,31.934519052505493
Zhejiang,1003838,attribute_kmeans,1.0,16,8,3,1,0.3333333333333333,9,9,1.0,0.07142857142857142,7,6,0.125,0.16666666666666666,36.34790921211243
Zhejiang,1009731,attribute_kmeans,1.0,16,4,1,1,1.0,2,2,1.0,0.0,4,4,0.0,0.0,29.128715991973877
