id,family,mask,reconstructed_macro_auroc,reference_macro_auroc,difference,ci_low,ci_high,margin,noninferior,n_records,n_patients,n_resamples,method
msvae__e1c0m0d1__s42,msvae,1001,0.8795733678014287,0.8840509462462809,-0.004477578444852193,-0.01020093768718179,0.0010858265059231075,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c0m1d0__s42,msvae,1010,0.879386662252746,0.8840509462462809,-0.004664283993534912,-0.010427087021335778,0.0007963117927357431,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c0m1d1__s42,msvae,1011,0.8792821588205341,0.8840509462462809,-0.004768787425746823,-0.010460134220171894,0.0005830304672457151,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c1m0d0__s42,msvae,1100,0.8799993986489346,0.8840509462462809,-0.004051547597346272,-0.00973049207929041,0.000657231335592652,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c1m0d1__s42,msvae,1101,0.8800080764907418,0.8840509462462809,-0.004042869755539136,-0.009560323267203111,0.0006726062362035307,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c1m1d0__s42,msvae,1110,0.8798809397847582,0.8840509462462809,-0.004170006461522657,-0.009926961604736108,0.0006675376222754297,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e1c1m1d1__s42,msvae,1111,0.8797582784749105,0.8840509462462809,-0.004292667771370384,-0.01013527244373184,0.0004973586270971811,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c0m0d0__s42,unet,0000,0.7049866218750166,0.8840509462462809,-0.1790643243712643,-0.19561109386792275,-0.165156567780779,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c0m0d1__s42,unet,0001,0.7514985415548635,0.8840509462462809,-0.13255240469141738,-0.14805336793247878,-0.11777635210001486,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c0m1d0__s42,unet,0010,0.8280577523908532,0.8840509462462809,-0.05599319385542767,-0.06744466735366711,-0.04563148081933061,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c0m1d1__s42,unet,0011,0.8174190253492772,0.8840509462462809,-0.06663192089700365,-0.08116879499888327,-0.056204438286703864,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c1m0d0__s42,unet,0100,0.8657546632086311,0.8840509462462809,-0.01829628303764974,-0.025231635833665774,-0.012242267342521531,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c1m0d1__s42,unet,0101,0.8651840478151,0.8840509462462809,-0.018866898431180834,-0.025444595959340482,-0.012672483358552016,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c1m1d0__s42,unet,0110,0.8665979978522438,0.8840509462462809,-0.017452948394037104,-0.023143826471317963,-0.011250422197472004,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e0c1m1d1__s42,unet,0111,0.8638048691233996,0.8840509462462809,-0.02024607712288129,-0.026210553141990854,-0.014433608596142823,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c0m0d0__s42,unet,1000,0.864848864329016,0.8840509462462809,-0.019202081917264913,-0.02483177779615067,-0.013440758917343365,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c0m0d1__s42,unet,1001,0.8623679612195351,0.8840509462462809,-0.021682985026745816,-0.027699551835659728,-0.016116819547999837,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c0m1d0__s42,unet,1010,0.8667387909205383,0.8840509462462809,-0.017312155325742595,-0.022575578001872824,-0.011629049286794745,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c0m1d1__s42,unet,1011,0.8614581639893701,0.8840509462462809,-0.02259278225691075,-0.028553250290654652,-0.01673634848220794,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c1m0d0__s42,unet,1100,0.8674165560160595,0.8840509462462809,-0.016634390230221396,-0.022320682408295964,-0.01185997976700773,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c1m0d1__s42,unet,1101,0.8687347904207434,0.8840509462462809,-0.01531615582553747,-0.020477216221890342,-0.010650639596669651,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c1m1d0__s42,unet,1110,0.8681695010793837,0.8840509462462809,-0.015881445166897157,-0.02115084409604425,-0.01097696556806637,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
unet__e1c1m1d1__s42,unet,1111,0.8687698725113572,0.8840509462462809,-0.015281073734923711,-0.02033179762715674,-0.010654106332135423,0.02,False,2198,1904,2000,paired_patient_cluster_influence_function_BCa
