family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n,n_patients,n_resamples,method,acceleration,bias_correction
unet,qrs_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.0011429193044590726,0.0007845416927401218,0.0014997139096803525,2198,1904,2000,paired_patient_cluster_BCa,-0.01528615899544477,0.043880072299401045
unet,qrs_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.001344557870850459,0.0009466322707285186,0.0017094241792859554,2198,1904,2000,paired_patient_cluster_BCa,-0.0049339362071619056,0.006266611701750335
unet,qrs_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,-0.00031071082361541037,-0.0005710371600238687,-5.8328010830881224e-05,2198,1904,2000,paired_patient_cluster_BCa,-0.004225292168540027,-0.017547298372150792
unet,qrs_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,3.3817632373929695e-05,-0.0004504674894097943,0.0005026884809765734,2198,1904,2000,paired_patient_cluster_BCa,0.0009101261249788922,-0.021307952628745463
unet,st_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.018598434285978113,0.01701388363842032,0.02008960120792408,2198,1904,2000,paired_patient_cluster_BCa,0.001840049323520664,-0.04137116513242771
unet,st_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.0014573390873250172,0.0011447940484020105,0.001756480204060058,2198,1904,2000,paired_patient_cluster_BCa,-0.005421959369534701,-0.006266611701750474
unet,st_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.00037536165479844317,1.8824253593408196e-05,0.0007436146061055162,2198,1904,2000,paired_patient_cluster_BCa,0.0002641103049898645,-0.01378689226308428
unet,st_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,-0.00223087909782789,-0.0028289066144880906,-0.0016619793674537053,2198,1904,2000,paired_patient_cluster_BCa,0.0006235717768328699,-0.01378689226308428
unet,st_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,0.0010293902861236745,0.0003095024083136318,0.0017501975485847499,2198,1904,2000,paired_patient_cluster_BCa,-0.0011357172094956147,0.011280066443692957
unet,st_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_patient_cluster,record_metric,-0.0005970501422556275,-0.0010816567206944484,-9.341499655889415e-05,2198,1904,2000,paired_patient_cluster_BCa,-0.0022314940323687003,0.011280066443692957
