family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n,n_patients,n_resamples,method,acceleration,bias_correction
unet,r2,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-3.7202979471977664,-3.824972334854811,-3.6140486606778124,2198,1904,2000,paired_patient_cluster_BCa,-0.009872644170389855,0.05391862204527385
unet,r2,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-5.072727581133524,-5.214652697313854,-4.931808642069533,2198,1904,2000,paired_patient_cluster_BCa,-0.010764065433758638,0.03635411612673946
unet,r2,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-3.7179010409350712,-3.824320052710109,-3.6134120188976855,2198,1904,2000,paired_patient_cluster_BCa,-0.010038167706247741,0.03510000177270885
unet,r2,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-3.752812527583649,-3.858915900266432,-3.6460769489522145,2198,1904,2000,paired_patient_cluster_BCa,-0.009721179418393656,0.04889873121265639
unet,r2,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,10.141071451649793,9.860530258039972,10.423787403798677,2198,1904,2000,paired_patient_cluster_BCa,0.010764019495001302,-0.03384594262165133
unet,r2,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,7.453183381324034,7.242772328841421,7.666687187156354,2198,1904,2000,paired_patient_cluster_BCa,0.010068893500446163,-0.038862518354400494
unet,r2,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,7.490656428095175,7.277133499877792,7.702912441315139,2198,1904,2000,paired_patient_cluster_BCa,0.009694864204468412,-0.04889873121265653
unet,r2,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,7.509797440367385,7.30101682549023,7.7236073511979555,2198,1904,2000,paired_patient_cluster_BCa,0.009997254257387279,-0.037608287661255936
unet,r2,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-15.037325035103823,-15.464860337977395,-14.619196087812767,2198,1904,2000,paired_patient_cluster_BCa,-0.010043095305409614,0.038862518354400355
unet,pearson,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.24593421770574556,0.24476587511084794,0.24732708006149615,2198,1904,2000,paired_patient_cluster_BCa,0.0012384315731739624,0.045134628481421316
unet,pearson,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.2854332861910151,0.2838104472795101,0.2870724815665995,2198,1904,2000,paired_patient_cluster_BCa,0.0039197527032907185,-0.04137116513242771
unet,pearson,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.13207826597144479,0.13106895048164013,0.13318482803583057,2198,1904,2000,paired_patient_cluster_BCa,-0.004814745112668569,0.028830218517740373
unet,pearson,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.0324044613101684,0.03181192211381954,0.03298602902531867,2198,1904,2000,paired_patient_cluster_BCa,-0.0014396747219601852,-0.015040336678635672
unet,pearson,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.4927255171875946,-0.4954719640879609,-0.49052173187116865,2198,1904,2000,paired_patient_cluster_BCa,-0.003933150936398235,-0.04764395595447656
unet,pearson,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.2645137543209808,-0.26678723561575746,-0.2624630843850558,2198,1904,2000,paired_patient_cluster_BCa,0.0048993707167644274,-0.0401168101849681
unet,pearson,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.0667698891428634,-0.06791469722741096,-0.0655692041999593,2198,1904,2000,paired_patient_cluster_BCa,0.0012538042095938465,0.005013277548926657
unet,pearson,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.25796153955367485,-0.2602469044819136,-0.2558860412649252,2198,1904,2000,paired_patient_cluster_BCa,0.004794313770333885,-0.02883021851774051
unet,pearson,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.05791805611826137,-0.05919219376658904,-0.05676838508597403,2198,1904,2000,paired_patient_cluster_BCa,0.0005355724668306291,-0.0363541161267396
unet,pearson,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.08610299350094945,-0.0870052391711455,-0.0851449894036783,2198,1904,2000,paired_patient_cluster_BCa,0.0038505871109515413,-0.007519955698540524
unet,pearson,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.5182423399831314,0.5140346230841255,0.5229486486757727,2198,1904,2000,paired_patient_cluster_BCa,-0.004846146588078625,0.045134628481421316
unet,pearson,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.1220892158595962,0.11972101837205773,0.12456152689909944,2198,1904,2000,paired_patient_cluster_BCa,-0.001189160057107216,0.018800819591187533
