family,metric,effect,effect_type,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
msvae,pearson,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,pearson,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,pearson,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,qrs_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,st_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,correlation,main,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,mmd,main,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,derivative,main,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
msvae,j_point_amplitude_mae,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
msvae,ecgfounder_auroc,correlation,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,mmd,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,derivative,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,correlation:mmd,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,correlation:derivative,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,mmd:derivative,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
msvae,ecgfounder_auroc,correlation:mmd:derivative,three_way,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,mse,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,mse,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,r2,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,pearson,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,qrs_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,st_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,correlation,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,mmd,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,derivative,main,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
ecgaim,j_point_amplitude_mae,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
ecgaim,ecgfounder_auroc,correlation,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,mmd,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,derivative,main,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,correlation:mmd,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,correlation:derivative,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,mmd:derivative,pairwise,paired_ptbxl_record,macro_auroc_record_influence,,,,0
ecgaim,ecgfounder_auroc,correlation:mmd:derivative,three_way,paired_ptbxl_record,macro_auroc_record_influence,,,,0
