model_id,mean_mae,mean_pearson,mean_r2,mean_auroc,mean_auprc,n_targets,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_name
f_1010103_s42,0.5921,0.3418,0.1169,0.693,0.0222,1,1010103,1,0,1,0,1,0,anatomical_imq
f_1010104_s42,0.5929,0.3422,0.1171,0.6932,0.0222,1,1010104,1,0,1,0,1,0,temporal_kmeans_imq
f_1010110_s42,0.5985,0.3138,0.0985,0.5305,0.0111,1,1010110,1,0,1,0,1,1,none
f_1010111_s42,0.5968,0.3303,0.1091,0.5716,0.011,1,1010111,1,0,1,0,1,1,global_rbf
f_1010112_s42,0.5963,0.314,0.0986,0.5277,0.0111,1,1010112,1,0,1,0,1,1,anatomical_laplacian
f_1010113_s42,0.5985,0.3137,0.0984,0.5304,0.0111,1,1010113,1,0,1,0,1,1,anatomical_imq
f_1010114_s42,0.5995,0.3137,0.0984,0.5318,0.0112,1,1010114,1,0,1,0,1,1,temporal_kmeans_imq
f_1011000_s42,0.5788,0.4667,0.2178,0.834,0.034,1,1011000,1,0,1,1,0,0,none
f_1011001_s42,0.6457,0.4589,0.2106,0.7564,0.0439,1,1011001,1,0,1,1,0,0,global_rbf
f_1011002_s42,0.6473,0.441,0.1945,0.7608,0.0482,1,1011002,1,0,1,1,0,0,anatomical_laplacian
f_1011003_s42,0.6044,0.4655,0.2166,0.8081,0.0396,1,1011003,1,0,1,1,0,0,anatomical_imq
f_1011004_s42,0.5907,0.4487,0.2013,0.7903,0.0596,1,1011004,1,0,1,1,0,0,temporal_kmeans_imq
f_1011010_s42,0.5927,0.377,0.1421,0.5448,0.0165,1,1011010,1,0,1,1,0,1,none
f_1011011_s42,0.563,0.3774,0.1425,0.6129,0.0275,1,1011011,1,0,1,1,0,1,global_rbf
f_1011012_s42,0.6931,0.3273,0.1071,0.5605,0.0227,1,1011012,1,0,1,1,0,1,anatomical_laplacian
f_1011013_s42,0.6125,0.3745,0.1403,0.5615,0.0201,1,1011013,1,0,1,1,0,1,anatomical_imq
f_1011014_s42,0.6568,0.3741,0.1399,0.5717,0.0259,1,1011014,1,0,1,1,0,1,temporal_kmeans_imq
f_1011100_s42,0.598,0.3275,0.1072,0.5327,0.0149,1,1011100,1,0,1,1,1,0,none
f_1011101_s42,0.5997,0.3327,0.1107,0.5482,0.0107,1,1011101,1,0,1,1,1,0,global_rbf
f_1011102_s42,0.5992,0.3276,0.1073,0.5355,0.015,1,1011102,1,0,1,1,1,0,anatomical_laplacian
f_1011103_s42,0.5982,0.3276,0.1073,0.5329,0.0149,1,1011103,1,0,1,1,1,0,anatomical_imq
f_1011104_s42,0.5992,0.3272,0.1071,0.5324,0.0149,1,1011104,1,0,1,1,1,0,temporal_kmeans_imq
f_1011110_s42,0.5409,0.2865,0.0821,0.4847,0.005,1,1011110,1,0,1,1,1,1,none
f_1011111_s42,0.5302,0.2921,0.0853,0.4853,0.0044,1,1011111,1,0,1,1,1,1,global_rbf
f_1011112_s42,0.5375,0.2837,0.0805,0.4806,0.0042,1,1011112,1,0,1,1,1,1,anatomical_laplacian
f_1011113_s42,0.5406,0.2867,0.0822,0.4845,0.005,1,1011113,1,0,1,1,1,1,anatomical_imq
f_1011114_s42,0.5407,0.2868,0.0822,0.4839,0.005,1,1011114,1,0,1,1,1,1,temporal_kmeans_imq
f_1100000_s42,0.4095,0.4549,0.2069,0.5579,0.0177,1,1100000,1,1,0,0,0,0,none
f_1100001_s42,0.4053,0.4046,0.1637,0.5288,0.0074,1,1100001,1,1,0,0,0,0,global_rbf
f_1100002_s42,0.4717,0.3685,0.1358,0.5263,0.0081,1,1100002,1,1,0,0,0,0,anatomical_laplacian
f_1100003_s42,0.4003,0.4294,0.1844,0.5495,0.0153,1,1100003,1,1,0,0,0,0,anatomical_imq
f_1100004_s42,0.4174,0.4391,0.1928,0.5939,0.0275,1,1100004,1,1,0,0,0,0,temporal_kmeans_imq
f_1100010_s42,0.5416,0.236,0.0557,0.4469,0.0065,1,1100010,1,1,0,0,0,1,none
f_1100011_s42,0.5075,0.276,0.0762,0.3919,0.0066,1,1100011,1,1,0,0,0,1,global_rbf
f_1100012_s42,0.5337,0.2719,0.074,0.4289,0.0112,1,1100012,1,1,0,0,0,1,anatomical_laplacian
