component,metric,active_mean,inactive_mean,active_minus_inactive
corr_on,mae,0.22767500000000002,0.26006062500000005,-0.03238562500000003
corr_on,pearson_r,0.6719875,0.682811875,-0.010824374999999997
corr_on,r2,0.5613578125,0.56938625,-0.00802843749999993
corr_on,auroc,0.7739343750000001,0.8046374999999999,-0.03070312499999983
corr_on,auprc,0.5052281249999999,0.5080399999999999,-0.0028118750000000192
deriv_on,mae,0.28548125,0.23154444444444444,0.05393680555555558
deriv_on,pearson_r,0.6793262499999999,0.6799375,-0.0006112500000000631
deriv_on,r2,0.56567875,0.5678777777777779,-0.0021990277777779177
deriv_on,auroc,0.7952649999999999,0.7961986111111111,-0.0009336111111112322
deriv_on,auprc,0.5097087499999999,0.5058631944444445,0.0038455555555554355
vcg_on,mae,0.25745,0.24505083333333336,0.012399166666666656
vcg_on,pearson_r,0.6791480769230771,0.6802141666666667,-0.001066089743589571
vcg_on,r2,0.5669528846153846,0.5672133333333333,-0.0002604487179487247
vcg_on,auroc,0.8061548076923077,0.7869475,0.019207307692307718
vcg_on,auprc,0.5085163461538461,0.5061275000000001,0.002388846153846047
energy_on,mae,0.259075,0.24364249999999998,0.015432500000000016
energy_on,pearson_r,0.6595788461538462,0.6971741666666667,-0.03759532051282044
energy_on,r2,0.5515173076923077,0.5805908333333334,-0.02907352564102572
energy_on,auroc,0.7848903846153846,0.8053766666666667,-0.020486282051282112
energy_on,auprc,0.5043538461538462,0.5097349999999999,-0.0053811538461537856
lead_on,mae,0.25539,0.24638596491228065,0.009004035087719353
lead_on,pearson_r,0.6621527272727272,0.696669298245614,-0.03451657097288674
lead_on,r2,0.5541545454545453,0.5795763157894737,-0.025421770334928318
lead_on,auroc,0.7739236363636363,0.8170368421052632,-0.043113205741626914
lead_on,auprc,0.5052672727272727,0.5091368421052632,-0.003869569377990545
