dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_kernel,mmd_name
ptb_xl,f_1000100_s42,LVH_SokolowLyon,0.5047,0.3693,0.1364,-0.4015,-1.4186,0.6155,0.6179,0.3841,0.8534,0.0147,0.0019,0.0986,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000100,1,0,0,0,1,0,0,none
ptb_xl,f_1000101_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000101,1,0,0,0,1,0,1,global_rbf
ptb_xl,f_1000101_s42,LVH_SokolowLyon,0.5124,0.3784,0.1432,-0.412,-1.4284,0.6044,0.635,0.4092,0.8537,0.0137,0.0021,0.0904,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000101,1,0,0,0,1,0,1,global_rbf
ptb_xl,f_1000102_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000102,1,0,0,0,1,0,2,anatomical_laplacian
ptb_xl,f_1000102_s42,LVH_SokolowLyon,0.5046,0.3684,0.1357,-0.4015,-1.419,0.6159,0.6184,0.3839,0.855,0.0148,0.0019,0.0986,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000102,1,0,0,0,1,0,2,anatomical_laplacian
ptb_xl,f_1000103_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000103,1,0,0,0,1,0,3,anatomical_imq
ptb_xl,f_1000103_s42,LVH_SokolowLyon,0.505,0.3691,0.1362,-0.4022,-1.4192,0.6148,0.6178,0.3841,0.8533,0.0147,0.0019,0.0986,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000103,1,0,0,0,1,0,3,anatomical_imq
ptb_xl,f_1000104_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000104,1,0,0,0,1,0,4,temporal_kmeans_imq
ptb_xl,f_1000104_s42,LVH_SokolowLyon,0.5054,0.3693,0.1364,-0.4026,-1.4197,0.6145,0.6178,0.3835,0.8537,0.0147,0.0019,0.0986,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000104,1,0,0,0,1,0,4,temporal_kmeans_imq
ptb_xl,f_1000110_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000110,1,0,0,0,1,1,0,none
ptb_xl,f_1000110_s42,LVH_SokolowLyon,0.489,0.3284,0.1078,-0.3713,-1.4027,0.6601,0.619,0.4367,0.8066,0.0057,0.002,0.0181,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000110,1,0,0,0,1,1,0,none
ptb_xl,f_1000111_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000111,1,0,0,0,1,1,1,global_rbf
ptb_xl,f_1000111_s42,LVH_SokolowLyon,0.496,0.3367,0.1134,-0.3801,-1.4108,0.6506,0.6499,0.4699,0.834,0.0075,0.0021,0.0333,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000111,1,0,0,0,1,1,1,global_rbf
