target,tier,n,b1_auroc,target_auroc,residual_auroc,concat_auroc,incremental_delta,residual_retention
model_001,P1,8,0.9076085198489625,0.9034664446138486,0.7323702187237981,0.9161838764481165,0.008575356599153983,0.5817134030610471
model_001,P2,4,0.9628242564817451,0.9450066328611016,0.7480081897210521,0.9588796170492632,-0.003944639432481939,0.5350085527730145
model_001,P3,2,0.9500744686973838,0.9477151821151075,0.7086457504920252,0.9576185063680691,0.0075440376706853995,0.44803848871602003
model_001,anchor,25,0.8951329297652204,0.8764802380611354,0.6516177342579877,0.8940868221561098,-0.0010461076091106093,0.39980161935954955
model_101,P1,8,0.9076085198489625,0.9256089093888691,0.7905751782044391,0.9264744804153696,0.018865960566407103,0.682477906844509
model_101,P2,4,0.9628242564817451,0.9483011277074479,0.7776724681182801,0.9574519408761395,-0.00537231560560561,0.609630206684498
model_101,P3,2,0.9500744686973838,0.9484547426735154,0.6783250460912346,0.9613666008645005,0.01129213216711672,0.39308942727910123
model_101,anchor,25,0.8951329297652204,0.9111227273939536,0.7430608786893913,0.9171211777633067,0.021988247998086314,0.588625877221385
model_m,P1,8,0.9076085198489625,0.9075669860795352,0.7637561211884174,0.9190469604637341,0.011438440614771603,0.6231736670413044
model_m,P2,4,0.9628242564817451,0.9068550132504146,0.8240548175268645,0.9433348578002223,-0.0194893986815228,0.7811319966285131
model_m,P3,2,0.9500744686973838,0.9357908246481614,0.7533181422616809,0.958161128255502,0.008086659558118325,0.568312283388267
model_m,anchor,25,0.8951329297652204,0.8895097703207533,0.7284393656879595,0.9045420580992648,0.0094091283340444,0.5747699107236128
