epoch,val_mae
1,0.1902393905743095
2,0.17778830191189818
3,0.16028027060821295
4,0.15131137867916572
5,0.13496588177589197
6,0.1282667112558546
7,0.12681587850997159
8,0.1156376339837758
9,0.1088066775968214
10,0.1083062798138752
11,0.1072937068567966
12,0.0918403160133694
13,0.08237266261494795
14,0.08501290231139708
15,0.0763293640538513
16,0.07594404327649747
17,0.07351430590921978
18,0.07792262543883008
19,0.06400192808230963
20,0.07370214873767848
21,0.06305745253942502
22,0.07470786385491258
23,0.06236482486649607
24,0.0707164058154012
25,0.06418927814790268
26,0.0657273158738004
27,0.05128433213100143
28,0.057261574716733536
29,0.05681288910223647
30,0.05711660819561999
31,0.06329885393129245
32,0.06288265552567175
33,0.05711590899811158
34,0.06070356534830507
35,0.0522641986625073
36,0.05271900972366163
37,0.05797970897602818
38,0.05435258631442277
39,0.0547660435967037
40,0.05955496792759913
41,0.05658700793811112
42,0.06091832197690941
43,0.037097425403828516
44,0.048787820966703595
45,0.05556408333835112
46,0.05269597396604766
47,0.04614857187023105
48,0.04592543217731174
49,0.04870234736106399
50,0.05212940452134741
