epoch,val_mae
1,0.1464209382651552
2,0.125381723163176
3,0.10883656760087627
4,0.0950047794554611
5,0.08102250447713905
6,0.06914706756599731
7,0.063130953609812
8,0.05368146059147452
9,0.04852701636477885
10,0.04604619009686802
11,0.04102818571862489
12,0.03544178313333535
13,0.03743189724466852
14,0.034072172699838206
15,0.03043212150266029
16,0.03122580801472786
17,0.02938671145822722
18,0.027769269523241432
19,0.02942722899804091
20,0.028451338060570767
21,0.02668336653142125
22,0.024791893881483895
23,0.027076207432249984
24,0.024990183235029866
25,0.020883997918068293
26,0.024530180144777966
27,0.025365057878897077
28,0.02585016846448218
29,0.02930486121307549
30,0.021218976163750722
31,0.026945448971401303
32,0.025296756665156885
33,0.027039897441734215
34,0.025937845063656127
35,0.026191584273500587
36,0.025453694973728264
37,0.026173603967771204
38,0.026001655784016562
39,0.024790712647072898
40,0.02509010201363294
41,0.025870058870845904
42,0.02472165863958382
43,0.023600622370487635
44,0.023648740497308172
45,0.025000876137135475
46,0.023925426764532604
47,0.027689199968953058
48,0.022767681211658994
49,0.022709933871033882
50,0.025688963777451983
