epoch,val_mae
1,0.17336869883613445
2,0.15889821840789972
3,0.1423861387567067
4,0.1290786371632836
5,0.12032826941174996
6,0.11266366922304585
7,0.10421351029223185
8,0.09190992055889369
9,0.08968625389154572
10,0.08424993176240221
11,0.07587945423313584
12,0.0690894794092952
13,0.07453275022233079
14,0.0659801495950812
15,0.06011513875008704
16,0.06225059110170903
17,0.05533871205326701
18,0.053124485902100824
19,0.05642991893636265
20,0.053373874234618465
21,0.05053436312518855
22,0.049670332711010956
23,0.04465622294450656
24,0.04968653970668995
25,0.05116317967615975
26,0.05092613206081597
27,0.04327833291437004
28,0.0445265905751802
29,0.04078974320211876
30,0.04365790991108026
31,0.045357158462108915
32,0.04118649891141304
33,0.04113773099005238
34,0.0422370246578288
35,0.04269285535509502
36,0.04365460925826749
37,0.043111724612135055
38,0.04427887652113638
39,0.041863455404096625
40,0.0386527540772612
41,0.04018399088320887
42,0.04025133423712269
43,0.040219361124545945
44,0.04035709035813828
45,0.04344563303123027
46,0.03917683274256831
47,0.0451678833201362
48,0.037605166024551225
49,0.04072975459711584
50,0.043662161384107084
