concept,n_pos_train,n_pos_val,auroc_R0,auprc_R0,auroc_R1,auprc_R1,auroc_R2,auprc_R2,auroc_R3,auprc_R3,auroc_R4,auprc_R4,delta_auroc_R3_minus_R0,ci95_delta_R3_R0,delta_auroc_R4_minus_R3,ci95_delta_R4_R3
NORM,1651,932,0.7726705239094874,0.6589937134723761,0.8606161789779114,0.8038822813766181,0.8578425608587841,0.7894317033692351,0.8828077177134597,0.8342319687118469,0.8905691796384613,0.8371590933377542,0.10974321563185796,"[0.09251943323285927, 0.127986795503278]",0.007721016807759696,"[0.0026543111463983972, 0.012988676879525745]"
1AVB,100,80,0.6193621595795509,0.08654823557874516,0.6412326803631152,0.06718303425869307,0.646972049689441,0.10862256700953618,0.6291567128523651,0.11078393546230447,0.6285594839942666,0.09848882382333318,0.008742254515515122,"[-0.05965685743016799, 0.07157246874819675]",-0.0006961417428979352,"[-0.031734981946734596, 0.032791476704868226]"
STACH,135,83,0.913270306104802,0.28218776785113425,0.823145212428662,0.1403988799056532,0.8158874733383293,0.15915416627875115,0.874485501815876,0.24933301412842424,0.8758517322880037,0.22775439674100287,-0.038412432027189,"[-0.06835503485074906, -0.007361518465155786]",0.0013602312145890888,"[-0.009909636184699958, 0.013058621859795715]"
SBRAD,116,64,0.9066056187766715,0.2698012970318456,0.761335348506401,0.10837658045498748,0.7777753082029398,0.11177448174764013,0.8949887387387387,0.23139006227571934,0.8857426505452821,0.19725250625185914,-0.011489398475491694,"[-0.040510431224740025, 0.013003266363844355]",-0.009495906580357902,"[-0.02276715558229995, 0.0019561003219105465]"
AFIB,220,152,0.6834552983150602,0.16882595125198493,0.7363180030729967,0.18891702531898918,0.7060014583713118,0.15768109489220292,0.7524154274850907,0.20461495655179124,0.7748281205239718,0.2251504295116611,0.0686887510022844,"[0.021574730277619893, 0.11338925138924544]",0.022312272203643138,"[-0.005681476946101518, 0.048910287186882805]"
IMI,399,268,0.713515101657069,0.23604006832016655,0.7403180945665374,0.30813394508223596,0.7493477494417674,0.29533718898632366,0.7896090414071375,0.33619639223056696,0.7919085673992243,0.357413766492101,0.07628284801435602,"[0.04567731033925648, 0.10801224752308981]",0.0022594716900120994,"[-0.013298603698841534, 0.016240264207935787]"
AMI,55,35,0.6686623012160897,0.028552441941904524,0.5790725644794869,0.023332897236232664,0.5784311105171722,0.019387890030871477,0.6341841507416811,0.02327044328745209,0.6228785246558867,0.024006109650060514,-0.03616690597804256,"[-0.11508670149870677, 0.052675881683325446]",-0.011646348146782365,"[-0.042245944331879816, 0.014426322042790042]"
ALMI,40,29,0.7721307256819352,0.0979461460042053,0.8224716932578487,0.1565829126319575,0.8171802624807001,0.1357937618350465,0.8220535254760678,0.18792630740896418,0.8503763510036026,0.15099944987109734,0.0521512753422041,"[-0.022272408089522203, 0.12964717320351868]",0.02670069909561778,"[-0.008218464301478896, 0.06817491369148121]"
