# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    203     63     68     71     43      0      0      0      0   1215   1350      0      0  19995  19996      0  72910     13      0     20      5 
    0    179     62     70     72     52      0      0      0      0   1215   1230      0      0  19995  19996      0  72910     13      0     32     50 
    0    316     63     68     98     64      0      0      0      0   1215   1215      0      0  19995  19996      0  72910     13      0     14      8 
    0    219     63     68     81     58      0      0      0      0   1215   1110      0      0  19995  19996      0  72910     13      0     12      4 
    0    173     64     69     97     65      0      0      0      0   1215   1155      0      0  19995  19996      0  72910     13      0     15      4 
    0    127     64     67    100     60      0      0      0      0   1215   1155      0      0  19995  19996      0  72910     13      0     10      4 
    0    187     62     68     73     46      0      0      0      0   1215   1365      0      0  19995  19996      0  72910     13      0     14      4 
    0    180     62     68    100     60      0      0      0      0   1215   1335      0      0  19995  19996      0  72910     13      0    416      4 
    0    203     63     69     72     47      0      0      0      0   1215   1185      0      0  19995  19996      0  72910     13      0     45      9 
    0    205     63     68     70     50      0      0      0      0   1215   1200      0      0  19995  19996      0  72910     13      0     13      4 
    0    162     61     64     99     63      0      0      0      0   1215   1395      0      0  19995  19996      0  72910     13      0     11      4 
    0    210     61     65     88     63      0      0      0      0   1215   1395      0      0  19995  19996      0  72910     13      0     13      3 
    0    199     63     69     98     59      0      0      0      0   1215   1200      0      0  19995  19996      0  72910     13      0    425     10 
    0    269     62     70     82     47      0      0      0      0   1215   1320      0      0  19995  19996      0  72910     13      0     25     48 
    0    261     63     69    100     61      0      0      0      0   1215   1155      0      0  19995  19996      0  72910     13      0     10     10 
    0    301     64     68     98     64      0      0      0      0   1215   1140      0      0  19995  19996      0  72910     13      0     13      4 
    0    159     62     66     87     51      0      0      0      0   1215   1395      0      0  19995  19996      0  72910     13      0     12      4 
    0    161     62     67     70     49      0      0      0      0   1215   1380      0      0  19995  19996      0  72910     13      0     18      4 
    0    249     63     69     93     66      0      0      0      0   1215   1245      0      0  19995  19996      0  72910     13      0     33     54 
    0    257     63     69     65     38      0      0      0      0   1215   1215      0      0  19995  19996      0  72910     13      0     41      9 
    0    332     63     68     72     52      0      0      0      0   1215   1125      0      0  19995  19996      0  72910     13      0     10      5 
    0    255     64     69     93     66      0      0      0      0   1215   1185      0      0  19995  19996      0  72910     13      0     12      9 
    0    277     64     68     99     62      0      0      0      0   1215   1125      0      0  19995  19996      0  72910     13      0     11      5 
    0    333     64     68     82     58      0      0      0      0   1215   1155      0      0  19995  19996      0  72910     13      0     12      4 
    0    155     62     68     99     63      0      0      0      0   1215   1365      0      0  19995  19996      0  72910     13      0     11      5 
    0    162     62     68     77     44      0      0      0      0   1215   1365      0      0  19995  19996      0  72910     13      0    413      4 
    0    259     63     69     70     50      0      0      0      0   1215   1185      0      0  19995  19996      0  72910     13      0     45     11 
    0    273     63     69     75     44      0      0      0      0   1215   1185      0      0  19995  19996      0  72910     13      0     12      4 
    0    108     63     68     70     50      0      0      0      0   1215   1200      0      0  19995  19996      0  72910     13      0     12      4 
    0     82     62     65     96     66      0      0      0      0   1215   1410      0      0  19995  19996      0  72910     13      0     15      4 
