model_id,clean_name,category,val_pearson,val_p05,val_recon_loss,boundary_f1,boundary_ppv,boundary_sens,macro_f1_wave,miou_wave,P_iou,QRS_iou,T_iou,train_recon,train_ssl,train_total
A0_raw_1110000_s42_l0,A0_raw,Core Architecture Matrix,0.7060352784043508,0.3651094645261765,0.9389279933943264,0.6842174766359396,0.5993484908921686,0.7970865854909269,0.7785699963569641,0.6545664668083191,0.45224085450172424,0.8649594187736511,0.6464990377426147,1.7149071826199422,0.0,2.0675817240699854
A0_wave_noSSL_cross_attn_1110000_s42_l0,A0_wave_noSSL_cross_attn,Core Architecture Matrix,0.7065325215888908,0.3636902093887329,0.9387481653172037,0.6855558409767448,0.5984951019578977,0.8022570297884078,0.7825754284858704,0.6591771245002747,0.46071192622184753,0.8644044995307922,0.6524150371551514,1.7139937079521843,0.0,2.0662521827177143
A0_wave_noSSL_gated_add_1110000_s42_l0,A0_wave_noSSL_gated_add,Core Architecture Matrix,0.7136148773283073,0.3708684861660004,0.922718206177587,0.7443857447709781,0.6791683438632108,0.8234586806525652,0.8427026867866516,0.7338972687721252,0.6229982972145081,0.8663917183876038,0.7123019099235535,1.7104250007335238,0.0,2.0499547705364343
C1_E1_morlet_mag_morlet_phase_1110000_s42_l0,C1_E1_morlet_mag_morlet_phase,Core Architecture Matrix,0.7146708084551078,0.3748343646526337,0.920371179131494,0.744810342396187,0.6746921199942586,0.8311931277651444,0.8475468158721924,0.7405315041542053,0.6352021098136902,0.8653286099433899,0.7210639119148254,1.7098466836399373,0.18146696354797157,2.058350324776648
E1_raw_1110000_s42_l0,E1_raw,Core Architecture Matrix,0.7084475726382384,0.3780723690986633,0.9336351493130559,0.6762598086245768,0.5849034689242205,0.8014365488875764,0.7756085991859436,0.6511902809143066,0.44620105624198914,0.8656108975410461,0.6417588591575623,1.7132703064413082,0.0,2.066996150238569
E1_ssl_both_1110000_s42_l0,E1_ssl_both,Core Architecture Matrix,0.7147697362763167,0.3774885654449463,0.9199804516806118,0.7396857897355429,0.6735504668418836,0.8202227322721308,0.8382959365844727,0.7277137637138367,0.61432945728302,0.8648503422737122,0.7039614319801331,1.7089075757648837,0.15634986316851332,2.057043433189392
E1_ssl_cross_1110000_s42_l0,E1_ssl_cross,Core Architecture Matrix,0.7065426450746626,0.3693873524665833,0.9381056721659674,0.675211501872704,0.5850499363645082,0.7982253563963913,0.7741174697875977,0.649463415145874,0.4424433410167694,0.8645026087760925,0.6414442658424377,1.7156745714831965,0.0010669256949220468,2.0698246540025225
E1_wave_noSSL_cross_attn_1110000_s42_l0,E1_wave_noSSL_cross_attn,Core Architecture Matrix,0.7066384679192026,0.36706601381301884,0.9368510229000147,0.6762447153347004,0.5881617591292226,0.7953572097990883,0.773190975189209,0.6484477519989014,0.4402628540992737,0.8647220134735107,0.6403584480285645,1.7146882764274662,0.0,2.068947708300307
E1_wave_noSSL_gated_add_1110000_s42_l0,E1_wave_noSSL_gated_add,Core Architecture Matrix,0.7120012173903112,0.37868751883506774,0.9264237422874009,0.7205625149543459,0.6393530642881406,0.8254037862364328,0.8249854445457458,0.7105556130409241,0.5710733532905579,0.8659465909004211,0.6946470141410828,1.7125084556301775,0.0,2.0595578499494014
P1_A0_morlet_mag_phase_noSSL_1110000_s42_l0,P1_A0_morlet_mag_phase_noSSL,Other,0.7142592335535376,0.37494567930698397,0.9218402401260708,0.7347376962995358,0.6636151560263057,0.8229352704227245,0.8409926295280457,0.7316214442253113,0.6167447566986084,0.8661336302757263,0.7119859457015991,1.7111073908928411,0.0,2.0516900258957245
R0_morlet_mag_morlet_phase_1110000_s42_l0,R0_morlet_mag_morlet_phase,Other,0.7153526870303446,0.36980038285255434,0.919543060703554,0.7481213879759243,0.6823375109297581,0.8279430331622819,0.8455410003662109,0.737882137298584,0.6286813020706177,0.8668493032455444,0.7181158661842346,1.7085055922644812,0.2751337900447729,2.0620256687173644
R1_morlet_mag_ueg_phase_1110000_s42_l0,R1_morlet_mag_ueg_phase,Representation Sweep (R1-R9),0.7153904611996511,0.3770565241575241,0.920304612836976,0.7511477247504547,0.6847571023471664,0.8317943422183399,0.8461182713508606,0.7388690114021301,0.6265555024147034,0.8678389191627502,0.7222127318382263,1.706155218867952,0.1337079120528596,2.051564368507124
R2_morlet_mag_ueg_phase_sin_1110000_s42_l0,R2_morlet_mag_ueg_phase_sin,Representation Sweep (R1-R9),0.7156101340885337,0.37931611835956575,0.9208245294681494,0.7484337666886799,0.6858082640344885,0.823646118099738,0.844365119934082,0.7362966537475586,0.6242984533309937,0.8664728999137878,0.7181185483932495,1.709310166546881,0.1741082000032049,2.057034699394478
R3_morlet_logmag_ueg_phase_sin_1110000_s42_l0,R3_morlet_logmag_ueg_phase_sin,Representation Sweep (R1-R9),0.714398385249539,0.37162346839904786,0.9219434952390366,0.7443709633007578,0.6833057411458642,0.8174217802313615,0.837761402130127,0.7272095680236816,0.60920649766922,0.8661161065101624,0.7063062191009521,1.7110052918570715,0.20651753179300372,2.061693831056247
R4_morlet_mag_ueg_phase_wyatt_1110000_s42_l0,R4_morlet_mag_ueg_phase_wyatt,Representation Sweep (R1-R9),0.7145877923010975,0.3638953506946564,0.9207249629324761,0.7495094664925407,0.6873287297462324,0.8240598951057607,0.8456314206123352,0.737818717956543,0.6323543787002563,0.8656071424484253,0.7154945731163025,1.7098672944445943,0.21775790972400325,2.0604886719763207
R5_morlet_mag_ueg_phase_wyatt_1110000_s42_l0,R5_morlet_mag_ueg_phase_wyatt,Representation Sweep (R1-R9),0.7143003533701393,0.37267027199268343,0.9212858512781669,0.7482408367156782,0.6787826948442801,0.8335343275769996,0.8463349342346191,0.7388612627983093,0.6333819031715393,0.8664299249649048,0.7167718410491943,1.709620093774037,0.15350311680843956,2.0560722066547763
R6_morlet_mag_ueg_phase_wyatt_1110000_s42_l0,R6_morlet_mag_ueg_phase_wyatt,Representation Sweep (R1-R9),0.714480083841921,0.3807594746351242,0.9221095295919888,0.7448586414388019,0.6762657387852139,0.828936805287858,0.8473685383796692,0.7402737736701965,0.6350650787353516,0.8653573393821716,0.7203989624977112,1.7096724244634844,0.10353664216680071,2.0546563799553432
R7_morlet_mag_ueg_real_1110000_s42_l0,R7_morlet_mag_ueg_real,Representation Sweep (R1-R9),0.7167045849567835,0.3806386262178421,0.9164031536682792,0.7494035796497027,0.6881423322466319,0.8226381997517338,0.8483031392097473,0.741760790348053,0.6362491250038147,0.8682586550712585,0.7207745909690857,1.7083231096898035,0.244157985855929,2.057950422258972
R8_morlet_mag_ueg_mag_1110000_s42_l0,R8_morlet_mag_ueg_mag,Representation Sweep (R1-R9),0.715817882212035,0.3761722892522812,0.9196059021396913,0.7548316708229428,0.6977234186238463,0.8221218626331072,0.8419162631034851,0.7327867150306702,0.6211676001548767,0.8658687472343445,0.7113239169120789,1.7081147584074714,0.14068658020680216,2.053727893525851
conv_control_1110000_s42_l0,conv_control,CNN Baseline,0.7225563754022558,0.3831822097301483,0.9037303665409917,0.7942007402378396,0.7583389097647604,0.8336227414671754,0.8702772259712219,0.773502767086029,0.6859155893325806,0.8692053556442261,0.7653872966766357,1.7018808459126673,0.20688823678939988,2.039522793185025
del_boundary_1110000_s42_l0,del_boundary,Loss & Delineation Aux,0.7087417835471242,0.3663098305463791,0.932048607563627,0.7122901679590387,0.6361909688040535,0.8090684358875517,0.7901905179023743,0.6686291694641113,0.471907377243042,0.8644714951515198,0.6695088148117065,1.7118473090915376,0.0,2.065218479280227
del_ce_1110000_s42_l0,del_ce,Loss & Delineation Aux,0.7103459632320247,0.3709248542785645,0.9308547826780789,0.6939185478735804,0.6222209128761097,0.7842913273046849,0.7760481834411621,0.6527190804481506,0.4365287721157074,0.8646945953369141,0.6569339036941528,1.7077569189678645,0.0,1.9615868100921556
del_fid_1110000_s42_l0,del_fid,Loss & Delineation Aux,0.7156191121614476,0.3785862445831299,0.9195713349010634,0.7497510023750542,0.683238739669121,0.8306095960899841,0.8450496196746826,0.737288236618042,0.6253706812858582,0.866925060749054,0.7195689082145691,1.7080802872248058,0.16636915656315068,2.07299772689217
del_head128k25_1110000_s42_l0,del_head128k25,Loss & Delineation Aux,0.709659407962245,0.3666595846414566,0.9321727113447328,0.7365989675453947,0.6602670135637507,0.8328871379009127,0.8264941573143005,0.7132410407066345,0.5667203664779663,0.8704283237457275,0.7025743722915649,1.7111062389254716,0.0,2.045031483783278
del_head64k9_1110000_s42_l0,del_head64k9,Loss & Delineation Aux,0.7102944245617419,0.36520473957061766,0.9287206012269725,0.6665760042098915,0.5726353110293315,0.7973871927175247,0.7658675312995911,0.6407467126846313,0.4138697385787964,0.8551478385925293,0.6532225608825684,1.7060127866749664,0.0,2.0680474401833524
del_wave_boundary_1110000_s42_l0,del_wave_boundary,Loss & Delineation Aux,0.7148808085788818,0.3770416766405106,0.9197913615599923,0.7626146412018012,0.7123862690728645,0.820463218053409,0.8427667617797852,0.734122097492218,0.6215123534202576,0.8677944540977478,0.713059663772583,1.7092018999989205,0.16667050218056872,2.0595016015495196
del_wave_ce_1110000_s42_l0,del_wave_ce,Loss & Delineation Aux,0.7164242333087062,0.3757015228271484,0.9178924353226371,0.7463837962812205,0.6915928175511965,0.8106033010210036,0.8355312943458557,0.7242771983146667,0.6007112860679626,0.8651056289672852,0.7070145010948181,1.7069555162070285,0.1909504907805304,1.9633104255470828
mask_fixed_raw_1110000_s42_l0,mask_fixed_raw,Other,0.7071275220423651,0.3629435211420059,0.9376383147377899,0.68222771919688,0.5937116174802997,0.8017619120034234,0.7806728482246399,0.6570067405700684,0.4559825360774994,0.8641116619110107,0.6509259343147278,1.7145067155725953,0.0,2.0675164984956367
