model_id,ecgfounder_macro_150_auroc,infarct_macro_auroc,conduction_macro_auroc,arrhythmia_macro_auroc,hypertrophy_macro_auroc,afib_auroc,lbbb_auroc,anterior_mi_auroc,lvh_auroc,qrs_duration_error_ms,sokolow_lyon_mae_mv,missing_lead_pearson_r,missing_lead_mae_mv,v3_r_presacan_r2,v3_r_presacan_slope,v3_r_var_ret_pct,v6_r_presacan_r2,v6_r_presacan_slope,v6_r_var_ret_pct,interlead_r2_real_I_V3,interlead_r2_recon_I_V3,spurious_coupling_ratio_v3,avg_precordial_var_ret_pct,mask
f_1000000_s42,0.8491756800174978,0.7995598071543573,0.8306680745524977,0.9557993027978396,0.8060148377124766,0.9775621237845347,0.982134227377069,0.5814014926358892,0.7606924643584521,16.83534523549272,0.5592294654417636,0.747724522339182,0.10723069548433165,0.8991725121352292,-0.8211562279265918,10.759653442655774,0.9266607173974691,-0.953334467042111,7.410708133053127,0.02068129191863738,0.00038448359835398195,0.01858998992309519,28.19420321274244,1000000
f_1000001_s42,0.8238754107196048,0.75727864088482,0.7881539906964992,0.9547469469729577,0.7857611806053509,0.9761633739774657,0.979159115621602,0.5169407568852784,0.734181071248281,20.510883773611067,0.5750949098039353,0.6080862017541588,0.11593791410725994,0.9291917985749307,-0.9101350684192335,7.119903458221155,0.9568559089189133,-0.9785860399456905,4.363758084275251,0.02068129191863738,1.7419402581693891e-06,8.422375358698419e-05,28.30718744955401,1000001
f_1000002_s42,0.837639419575075,0.7885841340431737,0.7985716941673464,0.9556417012957168,0.803453122901198,0.9779093995987035,0.9770221698683098,0.5766990291262136,0.7438704370985431,20.192352686808686,0.5536538498249931,0.685103796118264,0.111506690666648,0.9237536658919466,-0.8839847005908555,7.795844704412751,0.932419629673347,-0.9649349094250234,6.871424115442664,0.02068129191863738,0.00306474944110754,0.14818229300524524,29.275819194310525,1000002
f_1000003_s42,0.8489960418277736,0.8057979990034118,0.826155286917631,0.9550445129731991,0.8048033886501957,0.9765942532283789,0.9821719826023922,0.5882174228914867,0.7587667763329677,16.50181683384883,0.5389660626646448,0.7415880040481847,0.10850560803729199,0.9000668659072498,-0.8286355124623253,10.560208875405824,0.9203964327052028,-0.9538182715692706,8.081719576331825,0.02068129191863738,0.00012782910614365703,0.006180606416664428,28.701388404064243,1000003
f_1000004_s42,0.847426221685407,0.7993867689404333,0.8218125476407903,0.9562641591704577,0.8061270502800942,0.9772437876215465,0.9821946357375861,0.5826035268476323,0.7513925879506328,17.544893048381944,0.551829124668108,0.7346100266960551,0.10794354213896891,0.906637967582793,-0.8384909851420088,9.84842657471943,0.9103346998250245,-0.9526358998662846,9.163094152125709,0.02068129191863738,7.85252783603511e-06,0.0003796739678042636,29.832428225747705,1000004
f_1000010_s42,0.8211786863901586,0.7560448890532497,0.7907118137371748,0.9463157475532282,0.7810809895415209,0.9767003652827082,0.9772789054005074,0.5599762234991084,0.721858843803854,17.340215262101314,0.7278990130017324,0.6079968322661721,0.12864567121164994,0.9903009779882339,-0.9670214656467694,1.0246265432607915,0.9761594647294329,-0.9820618638975745,2.3876224435297932,0.02068129191863738,0.0005729653883818984,0.027703186408735658,21.768959321284488,1000010
f_1000011_s42,0.8040970904466308,0.7047768686624253,0.7634805197847943,0.9507159889413257,0.7808743333809386,0.9796297010855585,0.9767956385163706,0.44048609735156197,0.689709645412293,20.540500554413715,0.6206010578359796,0.5791852602588149,0.12287899247289508,0.9781654347024983,-0.9833182453391622,2.1861709435410166,0.9540960572959457,-0.9793475771453454,4.657226037482646,0.02068129191863738,0.004500997394981342,0.21762565835004824,27.588045970185842,1000011
f_1000012_s42,0.8200817885320146,0.7363640564107762,0.7890451321313644,0.948818182938727,0.7969383293719865,0.9776875289396512,0.9743944061858162,0.48066838385839766,0.719719915748429,19.261746813044677,0.6446963305415112,0.6224137851971991,0.12564042891033628,0.9774013287777287,-0.9717031850369653,2.263189078227682,0.9642051302240122,-0.9740608408324835,3.5895610820142587,0.02068129191863738,0.017834138852883128,0.8622902588862648,25.516806895189333,1000012
f_1000013_s42,0.8202763486922489,0.748851295125527,0.7899591754261537,0.944942537984042,0.7876654192287614,0.9762887791325823,0.9785172767911078,0.5615481143913876,0.7147065991261511,16.228087558353703,0.6740536933452388,0.6096383946253687,0.12966272824589464,0.9897390122906393,-0.9687127357248766,1.0707675473235967,0.9704201103302184,-0.9803171618904832,2.9680827014900704,0.02068129191863738,0.0003906850727479747,0.018889834564027097,22.492592145690605,1000013
f_1000014_s42,0.8192992094405644,0.7386125553637012,0.798114233198889,0.9437695842610481,0.7856014181323148,0.9770347790296856,0.9777546212395796,0.5469519846773662,0.7085509252006197,15.399671809890075,0.6195442514920535,0.6087891763991973,0.12914614134350338,0.9879449048804126,-0.9655290449149032,1.2563697143355528,0.9658870580670604,-0.980475520613541,3.433328160691346,0.02068129191863738,0.0073144595664894185,0.3536580759648866,23.646882483322816,1000014
