dataset,evaluation_type,ground_truth_status,model_id,family,factorial_mask,device,task_name,source_parquet,task_index,n,reference_mean_probability,reconstructed_mean_probability,probability_mae,probability_rmse,probability_pearson,bernoulli_kl_reference_to_reconstruction,jensen_shannon_divergence,threshold,threshold_agreement,reference_positive_rate,reconstructed_positive_rate
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,RSR' PATTERN IN V1,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,96,180,0.02938046215309037,0.04368063407018781,0.01834588846605685,0.022302124172374548,0.10893207036289806,0.006077301760298789,0.001704211819087977,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ST LESS DEPRESSED IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,97,180,0.048481834758745714,0.04928704470189081,0.03483219791798749,0.044780727146344734,0.7691199941989607,0.01577432443968558,0.004146894563898315,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,VENTRICULAR TACHYCARDIA,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,98,180,0.20714601144298084,0.2326714353532427,0.06859520523188015,0.10568953789221396,0.9361091409763325,0.03888138532713088,0.01007905914054974,0.5,0.95,0.2111111111111111,0.21666666666666667
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,EARLY REPOLARIZATION,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,99,180,0.04553545456987599,0.03500975176640269,0.049103690787968744,0.07904724120176497,0.16765146071760056,0.04639187539558658,0.00992938724490683,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ST MORE DEPRESSED IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,100,180,0.019048304215539248,0.012416580453282222,0.012356030155206098,0.0203370630189292,0.6887825730674543,0.007923590222292847,0.001694775761686636,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ANTEROLATERAL LEADS,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,101,180,0.04098418923870971,0.01658706166393434,0.025839246986692564,0.05607003026686441,0.8500507645940691,0.021663608490675945,0.004191041189503638,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ELECTRONIC DEMAND PACING,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,102,180,0.0258181142142146,0.032001761733166253,0.01456240917258482,0.019772344971292943,0.5390431153147953,0.006835261696423218,0.0017341871754570815,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,103,180,0.00747961618601241,0.007923359432930334,0.004002655095731219,0.005336678484811114,0.5210189673754977,0.0017637089613629932,0.00041767569944128457,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LATERAL INJURY PATTERN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,104,180,0.19566128202018768,0.2406646640634992,0.08104871462742771,0.14497791181665717,0.9213398127516853,0.07174777317254634,0.020614840152030987,0.5,0.9611111111111111,0.2111111111111111,0.19444444444444445
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,BIVENTRICULAR PACEMAKER DETECTED,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,105,180,0.0038276405194968294,0.01760843558004126,0.01378079506054443,0.017690721543611468,0.7339119027914882,0.008718551140825752,0.0026914943364590516,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,SUSPECT UNSPECIFIED PACEMAKER FAILURE,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,106,180,0.037991327447040625,0.03832988391319911,0.019837924691900197,0.025039110748178675,0.47966911292353975,0.00908480535888097,0.0021790696304863732,0.5,1.0,0.0,0.0
