cohort,record_id,fs,condition,geometry,kernel,m_star,G_star,graph_density,n_similarity_edges,n_clique_groups,n_cc_groups,n_maximal_cliques,overlap_fraction,is_disconnected,elapsed_sec
PTB-XL,112,500.0,C2_geom_only,ms_based,fixed_c1,16,6,0.3333333333333333,5,3,2,3,0.16666666666666666,0,7.278491735458374
PTB-XL,100,500.0,C2_geom_only,ms_based,fixed_c1,32,6,0.6,9,2,1,2,0.16666666666666666,0,8.143311023712158
EchoNext,10,250.0,C2_geom_only,ms_based,fixed_c1,8,6,0.4,6,2,2,2,0.0,0,5.1784508228302
PTB-XL,116,500.0,C2_geom_only,ms_based,fixed_c1,16,8,0.42857142857142855,12,3,2,3,0.25,0,11.892451524734497
EchoNext,42,250.0,C2_geom_only,ms_based,fixed_c1,8,8,0.4642857142857143,13,2,1,3,0.25,0,9.526961088180542
PTB-XL,57,500.0,C2_geom_only,ms_based,fixed_c1,16,4,0.16666666666666666,1,3,3,1,0.0,0,25.707447290420532
EchoNext,105,250.0,C2_geom_only,ms_based,fixed_c1,16,6,0.4666666666666667,7,2,2,2,0.0,0,12.571345329284668
PTB-XL,117,500.0,C2_geom_only,ms_based,fixed_c1,16,8,0.39285714285714285,11,3,2,3,0.25,0,15.359391450881958
EchoNext,210,250.0,C2_geom_only,ms_based,fixed_c1,16,8,0.5,14,3,1,3,0.375,0,12.283336877822876
EchoNext,315,250.0,C2_geom_only,ms_based,fixed_c1,32,8,0.5,14,3,2,5,0.75,0,14.759038209915161
PTB-XL,115,500.0,C2_geom_only,ms_based,fixed_c1,64,4,0.5,3,2,2,1,0.0,0,28.257548570632935
EchoNext,525,250.0,C2_geom_only,ms_based,fixed_c1,32,4,0.5,3,2,2,1,0.0,0,12.88624882698059
PTB-XL,93,500.0,C2_geom_only,ms_based,fixed_c1,32,4,0.3333333333333333,2,3,2,2,0.25,0,31.72522258758545
EchoNext,735,250.0,C2_geom_only,ms_based,fixed_c1,32,4,0.5,3,2,2,1,0.0,0,10.498517990112305
EchoNext,840,250.0,C2_geom_only,ms_based,fixed_c1,32,4,0.5,3,2,2,1,0.0,0,10.979138374328613
EchoNext,630,250.0,C2_geom_only,ms_based,fixed_c1,32,6,1.0,15,1,1,1,0.0,0,14.559974908828735
EchoNext,420,250.0,C2_geom_only,ms_based,fixed_c1,32,6,0.8666666666666667,13,2,1,2,0.5,0,18.946707010269165
EchoNext,945,250.0,C2_geom_only,ms_based,fixed_c1,32,4,0.5,3,2,2,1,0.0,0,11.634779453277588
EchoNext,1365,250.0,C2_geom_only,ms_based,fixed_c1,8,8,0.39285714285714285,11,3,2,3,0.25,0,10.828126192092896
EchoNext,1260,250.0,C2_geom_only,ms_based,fixed_c1,16,4,0.5,3,2,2,1,0.0,0,13.170744180679321
EchoNext,1155,250.0,C2_geom_only,ms_based,fixed_c1,16,6,0.6,9,3,2,2,0.5,0,20.82065224647522
EchoNext,1470,250.0,C2_geom_only,ms_based,fixed_c1,32,6,0.6666666666666666,10,2,2,1,0.0,0,17.223237991333008
EchoNext,1050,250.0,C2_geom_only,ms_based,fixed_c1,32,6,0.8,12,2,1,2,0.3333333333333333,0,23.159229516983032
PTB-XL,38,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.2,3,4,4,1,0.0,0,17.536285638809204
PTB-XL,9,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.13333333333333333,2,5,4,2,0.16666666666666666,0,19.170517921447754
PTB-XL,59,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.06666666666666667,1,5,5,1,0.0,0,17.54523277282715
PTB-XL,57,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.2,3,4,4,1,0.0,0,20.738170862197876
PTB-XL,40,500.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.07142857142857142,2,6,6,2,0.0,0,22.073415756225586
PTB-XL,65,500.0,C3_kernel_only,discrete_m,relative_dmed,6,6,0.13333333333333333,2,4,4,2,0.0,0,15.159117460250854
PTB-XL,76,500.0,C3_kernel_only,discrete_m,relative_dmed,6,6,0.2,3,3,3,3,0.0,0,13.385985374450684
PTB-XL,63,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.13333333333333333,2,4,4,2,0.0,0,15.917848348617554
PTB-XL,79,500.0,C3_kernel_only,discrete_m,relative_dmed,4,4,0.3333333333333333,2,2,2,2,0.0,0,13.730756044387817
PTB-XL,75,500.0,C3_kernel_only,discrete_m,relative_dmed,8,8,0.21428571428571427,6,5,3,4,0.25,0,14.800379276275635
PTB-XL,93,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.2,3,4,4,1,0.0,0,9.880438089370728
PTB-XL,112,500.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.13333333333333333,2,5,4,2,0.16666666666666666,0,8.867666244506836
EchoNext,42,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.39285714285714285,11,3,2,3,0.25,0,5.286790370941162
EchoNext,10,250.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.4666666666666667,7,2,1,3,0.3333333333333333,0,5.551506280899048
PTB-XL,100,500.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.25,7,4,2,5,0.375,0,12.143598318099976
PTB-XL,115,500.0,C3_kernel_only,discrete_m,relative_dmed,8,6,0.2,3,4,4,1,0.0,0,8.697804689407349
PTB-XL,117,500.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.35714285714285715,10,4,2,4,0.5,0,9.462294101715088
PTB-XL,116,500.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.25,7,5,4,3,0.375,0,10.612752914428711
EchoNext,105,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.35714285714285715,10,3,2,3,0.125,0,5.792249441146851
EchoNext,210,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.42857142857142855,12,2,2,2,0.0,0,6.072404384613037
EchoNext,420,250.0,C3_kernel_only,discrete_m,relative_dmed,4,4,0.5,3,2,1,3,0.5,0,5.137851238250732
EchoNext,315,250.0,C3_kernel_only,discrete_m,relative_dmed,8,8,0.42857142857142855,12,2,2,2,0.0,0,5.965058088302612
EchoNext,525,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.2857142857142857,8,4,3,3,0.25,0,5.696139574050903
EchoNext,630,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.4642857142857143,13,2,2,2,0.0,0,6.488407135009766
EchoNext,945,250.0,C3_kernel_only,discrete_m,relative_dmed,4,4,1.0,6,1,1,1,0.0,0,4.495297193527222
EchoNext,735,250.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.4666666666666667,7,2,1,3,0.3333333333333333,0,6.363185167312622
EchoNext,1155,250.0,C3_kernel_only,discrete_m,relative_dmed,8,8,0.42857142857142855,12,3,2,3,0.375,0,5.46097731590271
EchoNext,840,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.35714285714285715,10,3,2,3,0.25,0,6.6276867389678955
EchoNext,1050,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.4642857142857143,13,2,2,2,0.0,0,6.322421550750732
