cohort_condition,mean_d_med,mean_density,std_density,mean_clique_groups,mean_cc_groups,mean_overlap_fraction
PTBXL_Test_Fixed,0.13216610953471952,0.18973214285714288,0.0855188192325685,4.125,3.6875,0.09895833333333333
PTBXL_Test_Invariant,0.13216610953471952,0.48630952380952375,0.3058271314254976,3.0,2.375,0.23958333333333331
EchoNext_Fixed,0.01958747333276905,0.37916666666666665,0.08310171894497717,2.625,2.3125,0.0625
EchoNext_Invariant,0.01958747333276905,0.7872023809523809,0.2344964128708197,1.875,1.3125,0.25260416666666663
