dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
RDB,rdb_AF0048,unblocked,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.16666666666666666,3,3,0.0,0.0,13.461971521377563
RDB,rdb_AF0060,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,3,2,0.6666666666666666,0,0,,0.07142857142857142,6,6,0.0,0.0,11.95752739906311
RDB,rdb_AF0060,unblocked,1.0,16,8,exact_phase_and_beat_membership,3,2,0.6666666666666666,0,0,,0.03571428571428571,7,7,0.0,0.0,13.72410798072815
RDB,rdb_AF0060,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.39285714285714285,4,1,0.5,0.13636363636363635,14.498913049697876
RDB,rdb_AF0065,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.35714285714285715,4,2,0.5,0.8181818181818182,15.31920838356018
RDB,rdb_AF0065,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.21428571428571427,5,4,0.25,0.8571428571428571,13.483237981796265
RDB,rdb_AF0065,unblocked,1.0,16,8,exact_phase_and_beat_membership,5,2,0.4,0,0,,0.10714285714285714,6,6,0.0,1.0,14.828560829162598
RDB,rdb_AF0066,temporal_contiguous,1.0,64,8,exact_phase_and_beat_membership,0,0,,0,0,,0.42857142857142855,2,2,0.0,1.0,12.331916809082031
RDB,rdb_AF0066,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,0,0,,0,0,,0.6428571428571429,3,1,0.625,1.0,13.07753872871399
RDB,rdb_AF0066,unblocked,1.0,64,8,exact_phase_and_beat_membership,0,0,,0,0,,0.07142857142857142,7,6,0.125,1.0,13.924991369247437
RDB,rdb_AF0091,temporal_contiguous,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.14285714285714285,16.42205238342285
RDB,rdb_AF0091,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.125,19.26717782020569
RDB,rdb_AF0058,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,15,0,0.0,0,0,,1.0,1,1,0.0,1.0,58.40645933151245
RDB,rdb_AF0058,temporal_contiguous,1.0,64,8,exact_phase_and_beat_membership,15,0,0.0,0,0,,0.75,2,2,0.0,0.9523809523809523,54.59125280380249
RDB,rdb_AF0058,unblocked,1.0,64,8,exact_phase_and_beat_membership,15,11,0.7333333333333333,0,0,,0.2857142857142857,5,3,0.5,0.2857142857142857,58.448246002197266
RDB,rdb_AF0091,unblocked,1.0,32,6,exact_phase_and_beat_membership,3,3,1.0,0,0,,0.0,6,6,0.0,1.0,16.89382290840149
RDB,rdb_AF0071,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,10,2,0.2,0,0,,0.8666666666666667,2,1,1.0,0.8666666666666667,48.273409843444824
RDB,rdb_AF0071,temporal_contiguous,1.0,64,6,exact_phase_and_beat_membership,10,2,0.2,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.8,42.07483243942261
RDB,rdb_AF0071,unblocked,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,1.0,44.726319313049316
RDB,rdb_AF0093,temporal_contiguous,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,0.3,42.32030773162842
RDB,rdb_AF0093,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.44,47.61498665809631
RDB,rdb_AF0093,unblocked,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,0.35294117647058826,45.77867794036865
ISP,1,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.32142857142857145,5,2,0.125,0.05555555555555555,63.14055371284485
ISP,1,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.35714285714285715,4,2,0.375,0.10526315789473684,73.87706661224365
ISP,2,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.14285714285714285,5,5,0.0,0.16666666666666666,54.56899333000183
ISP,2,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.125,0.25,60.97591805458069
ISP,1,unblocked,1.0,32,8,exact_phase_and_beat_membership,5,3,0.6,0,0,,0.07142857142857142,7,6,0.125,0.0,67.83033800125122
ISP,2,unblocked,1.0,32,8,exact_phase_and_beat_membership,3,3,1.0,0,0,,0.0,8,8,0.0,1.0,59.878764152526855
ISP,3,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.2857142857142857,4,3,0.125,0.7777777777777778,85.01229596138
ISP,3,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.4642857142857143,3,1,0.5,0.8571428571428571,93.43704795837402
ISP,3,unblocked,1.0,32,8,exact_phase_and_beat_membership,6,5,0.8333333333333334,0,0,,0.03571428571428571,7,7,0.0,0.0,78.23270010948181
ISP,5,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,67.77782225608826
ISP,5,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,58.378241539001465
ISP,5,unblocked,1.0,32,8,exact_phase_and_beat_membership,6,5,0.8333333333333334,0,0,,0.03571428571428571,7,7,0.0,0.3333333333333333,62.75899958610535
ISP,7,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.25,0.2222222222222222,111.07808828353882
ISP,4,temporal_contiguous,1.0,128,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.6666666666666666,2,2,0.0,1.0,184.49009680747986
ISP,4,unblocked,1.0,128,6,exact_phase_and_beat_membership,10,5,0.5,0,0,,0.3333333333333333,4,2,0.3333333333333333,0.25,193.27768993377686
ISP,4,attribute_kmeans,1.0,128,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.6666666666666666,192.45116329193115
ISP,7,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.10714285714285714,6,6,0.0,0.2,123.77006411552429
ISP,6,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,9,0,0.0,0,0,,0.5714285714285714,2,1,0.5,0.5714285714285714,112.14851355552673
ISP,6,temporal_contiguous,1.0,64,8,exact_phase_and_beat_membership,9,0,0.0,0,0,,0.42857142857142855,3,2,0.125,0.5,113.31003212928772
ISP,8,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.5185185185185185,69.70293140411377
ISP,8,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.5,3,2,0.75,0.391304347826087,63.467010259628296
ISP,6,unblocked,1.0,64,8,exact_phase_and_beat_membership,9,7,0.7777777777777778,0,0,,0.07142857142857142,6,6,0.0,0.1,118.29666638374329
ISP,8,unblocked,1.0,32,8,exact_phase_and_beat_membership,5,4,0.8,0,0,,0.03571428571428571,7,7,0.0,0.5,68.43730783462524
ISP,9,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.10714285714285714,6,6,0.0,1.0,64.7605881690979
ISP,9,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.10714285714285714,6,6,0.0,1.0,59.37203502655029
ISP,7,unblocked,1.0,32,8,exact_phase_and_beat_membership,3,3,1.0,0,0,,0.0,8,8,0.0,1.0,115.43417000770569
Zhejiang,1000364,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.5714285714285714,2,1,0.5,0.3333333333333333,47.379456520080566
ISP,9,unblocked,1.0,32,8,exact_phase_and_beat_membership,3,3,1.0,0,0,,0.0,8,8,0.0,1.0,64.77568411827087
Zhejiang,1000364,temporal_contiguous,1.0,64,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.4642857142857143,2,2,0.0,0.14285714285714285,40.6538610458374
Zhejiang,1000364,unblocked,1.0,64,8,exact_phase_and_beat_membership,6,5,0.8333333333333334,0,0,,0.03571428571428571,7,7,0.0,0.0,45.131784200668335
Zhejiang,1000436,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,0,0,,3,3,1.0,0.0,6,6,0.0,0.0,34.56228947639465
Zhejiang,1000436,temporal_contiguous,1.0,16,6,exact_phase_and_beat_membership,0,0,,3,3,1.0,0.0,6,6,0.0,0.0,29.883376359939575
Zhejiang,1000436,unblocked,1.0,16,6,exact_phase_and_beat_membership,0,0,,3,3,1.0,0.0,6,6,0.0,1.0,31.547714710235596
Zhejiang,1003549,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,6,3,0.5,0,0,,0.17857142857142858,5,3,0.375,0.14285714285714285,27.99811363220215
Zhejiang,1003549,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,6,4,0.6666666666666666,0,0,,0.17857142857142858,6,4,0.125,0.16666666666666666,24.73628258705139
Zhejiang,1003549,unblocked,1.0,16,8,exact_phase_and_beat_membership,6,6,1.0,0,0,,0.0,8,8,0.0,1.0,27.5363667011261
ISP,10,temporal_contiguous,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,119.16435027122498
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,0.75,125.23120951652527
ISP,10,unblocked,1.0,64,4,exact_phase_and_beat_membership,3,3,1.0,0,0,,0.0,4,4,0.0,1.0,121.71721315383911
Zhejiang,1003838,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,3,1,0.3333333333333333,4,4,1.0,0.07142857142857142,7,6,0.125,0.2,31.70385718345642
Zhejiang,1003838,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,1,0.3333333333333333,4,4,1.0,0.07142857142857142,7,6,0.125,0.16666666666666666,36.627853870391846
Zhejiang,1009731,temporal_contiguous,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.0,4,4,0.0,0.0,24.84323525428772
Zhejiang,1009731,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.0,4,4,0.0,0.0,29.794172763824463
Zhejiang,1003838,unblocked,1.0,16,8,exact_phase_and_beat_membership,3,3,1.0,4,4,1.0,0.0,8,8,0.0,1.0,33.053771018981934
Zhejiang,1009731,unblocked,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.0,4,4,0.0,1.0,25.551057815551758
Zhejiang,1010240,temporal_contiguous,1.0,16,6,exact_phase_and_beat_membership,2,1,0.5,0,0,,0.2,3,3,0.0,0.2,33.05078101158142
Zhejiang,1010240,unblocked,1.0,16,6,exact_phase_and_beat_membership,2,2,1.0,0,0,,0.0,6,6,0.0,1.0,35.45012450218201
Zhejiang,1011746,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,0,0,,0,0,,0.06666666666666667,5,5,0.0,0.25,34.47034955024719
Zhejiang,1010096,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,8,7,0.875,0,0,,0.07142857142857142,7,6,0.125,0.0,47.96958899497986
Zhejiang,1010240,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,2,1,0.5,0,0,,0.26666666666666666,3,2,0.3333333333333333,0.125,39.22694945335388
Zhejiang,1010096,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,8,7,0.875,0,0,,0.07142857142857142,7,6,0.125,0.0,54.89636826515198
Zhejiang,1010096,unblocked,1.0,16,8,exact_phase_and_beat_membership,8,8,1.0,0,0,,0.0,8,8,0.0,1.0,51.30996322631836
Zhejiang,1011746,temporal_contiguous,1.0,16,6,exact_phase_and_beat_membership,0,0,,0,0,,0.06666666666666667,5,5,0.0,0.0,30.004029989242554
Zhejiang,1014397,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,4,0,0.0,0,0,,0.17857142857142858,6,5,0.25,0.25,19.63127827644348
Zhejiang,1012874,temporal_contiguous,1.0,16,6,exact_phase_and_beat_membership,2,1,0.5,0,0,,0.13333333333333333,5,4,0.16666666666666666,0.0,25.187071800231934
Zhejiang,1011746,unblocked,1.0,16,6,exact_phase_and_beat_membership,0,0,,0,0,,0.0,6,6,0.0,1.0,29.966895818710327
Zhejiang,1014397,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,4,0,0.0,0,0,,0.21428571428571427,5,5,0.0,0.2222222222222222,25.45220184326172
Zhejiang,1012874,unblocked,1.0,16,6,exact_phase_and_beat_membership,2,2,1.0,0,0,,0.0,6,6,0.0,1.0,27.094964265823364
Zhejiang,1014397,unblocked,1.0,16,8,exact_phase_and_beat_membership,4,4,1.0,0,0,,0.0,8,8,0.0,1.0,21.854960680007935
Zhejiang,1012874,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,2,0,0.0,0,0,,0.2,4,4,0.0,0.3333333333333333,29.776100158691406
